GeneID	GSM1261016	GSM1261017	GSM1261018	GSM1261019	GSM1261020	GSM1261021	GSM1261022	GSM1261023	GSM1261024	GSM1261025	GSM1261026	GSM1261027	GSM1261028	GSM1261029	GSM1261030	GSM1261031	GSM1261032	GSM1261033	GSM1261034	GSM1261035
100287102	14	1	17	5	8	9	17	8	6	17	7	3	4	1	4	2	15	4	1	1
653635	133	69	102	119	122	95	231	208	186	173	177	84	60	81	60	49	62	554	351	342
102466751	5	3	3	6	5	3	5	7	8	3	6	4	3	5	4	3	3	7	8	7
107985730	5	0	7	0	1	3	3	4	4	2	3	0	0	0	0	0	0	0	2	0
100302278	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0
645520	12	1	28	4	10	6	3	5	7	9	6	3	0	0	0	0	1	0	0	0
79501	2	0	6	1	1	3	1	1	4	2	0	1	0	0	0	0	0	0	0	0
100996442	75	21	58	24	23	47	58	73	51	51	51	30	31	88	36	31	25	71	93	83
729737	112	40	19	32	48	44	73	38	40	77	37	33	39	40	59	41	57	708	650	317
102725121	17	2	29	5	12	17	22	11	8	12	11	2	4	3	4	2	15	2	0	1
102723897	138	82	99	113	124	96	270	226	197	169	172	96	61	109	79	58	77	585	323	371
102465909	3	3	3	2	3	3	6	3	7	3	3	2	2	3	3	3	1	4	12	4
107985721	14	0	26	3	7	7	7	7	10	10	11	6	1	0	0	0	1	1	2	0
112268260	51	7	74	13	11	35	40	39	43	39	27	13	14	17	14	20	17	18	43	35
729759	2	0	5	0	1	1	2	2	1	2	3	0	1	2	0	1	0	0	1	0
100132287	84	24	20	25	38	44	63	34	26	48	34	29	29	40	38	30	32	366	352	245
105378947	1	1	4	1	1	6	4	3	1	2	4	2	1	1	1	0	3	2	4	7
101928626	5	0	10	1	1	1	2	2	5	4	3	2	0	2	0	0	0	0	0	0
113219467	201	94	104	101	95	131	259	350	671	658	496	139	1259	795	131	139	222	170	820	650
81399	31	3	41	6	10	14	20	30	28	20	21	4	13	13	8	22	4	4	11	11
100133331	78	34	19	26	41	53	65	44	37	36	38	23	28	40	29	25	30	310	277	183
107984841	32	6	15	7	10	15	14	15	14	20	12	9	19	48	16	17	8	40	44	29
107984847	21	9	14	14	13	9	22	21	23	26	25	12	16	55	14	19	5	59	58	56
107984849	10	1	7	2	1	2	3	2	3	4	3	1	3	8	5	2	2	14	21	8
100288069	64	20	41	22	22	34	50	56	28	37	33	29	33	105	42	32	18	44	74	68
105378580	86	16	44	18	27	17	59	41	46	55	52	36	97	75	72	71	25	16	13	6
400728	33	6	27	11	13	10	22	17	12	24	14	21	29	19	21	22	10	13	9	8
79854	32	9	12	8	14	8	18	19	19	12	11	6	10	11	15	18	6	33	24	16
643837	145	81	299	90	98	154	248	239	218	194	185	118	100	105	119	163	152	371	531	902
