"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6497",1654.60445787407,-1.29900008702035,0.164499176747568,-7.89669658355632,2.86392406357587e-15,1.52813902948404e-14
"440556",52.7157652652523,-1.28378092869923,0.32287751914008,-3.97606167229706,7.00659619931741e-05,0.000139762469472116
"63976",361.293842252078,-1.8797951154474,0.27566804002524,-6.81905350825322,9.16422659559113e-12,3.59634729130414e-11
"55966",121.810366619986,-1.42997644595431,0.205466251077779,-6.9596658256688,3.41080826153696e-12,1.39114684826029e-11
"9903",894.162424545974,-1.20809017282125,0.154153070713651,-7.83695172096411,4.61615432772369e-15,2.41599092423935e-14
"9341",457.154922853762,-1.14865260739587,0.112022170509292,-10.2537971026065,1.13783847981649e-24,1.3569660201576e-23
"765",150.58973169508,-5.01752225957827,0.376428737465082,-13.3292752656635,1.56409707198029e-40,7.0835973731727e-39
"155184",201.573909735037,-3.10450468715046,0.36418346794236,-8.52456237151825,1.53388639790274e-17,1.00863225203605e-16
"6518",214.066077136185,-1.18267033123479,0.184268901148338,-6.41817650110547,1.37916304418721e-10,4.86394161621494e-10
"9563",1576.10636676623,-1.03331513555477,0.132427520765165,-7.80287307037303,6.05134076589758e-15,3.13082642522022e-14
"100506022",12.3361527332924,-1.04808741288262,0.205240309078221,-5.10663532709441,3.279457723016e-07,8.38576247185522e-07
"116362",129.965177708954,-3.17959123275756,0.231210239540419,-13.7519481796208,4.95763178670151e-43,2.7484939672653e-41
"10218",92.091155299115,-2.20180780499338,0.218145010820814,-10.0933218537002,5.91338181934088e-24,6.64841931471699e-23
"943",278.053201946143,-2.00531660771896,0.202321809891532,-9.91151971601102,3.70960026669884e-23,3.91249517263472e-22
"7133",730.829131150421,-2.02594440491939,0.160139694191501,-12.6511069922282,1.1030950339796e-36,3.60101734188974e-35
"126767",82.4763316463619,-4.04980572362961,0.394959282110045,-10.2537297059934,1.13863242441885e-24,1.35728361843145e-23
"649324",34.1868152197564,-1.59338967665251,0.310836975156302,-5.12612656795828,2.95763817378858e-07,7.59759180972013e-07
"645354",34.7252997377911,-1.57998182762059,0.315583556610449,-5.00654040594038,5.54170328981291e-07,1.38604545869856e-06
"126755",31.2513402228962,-3.59297471714142,0.343783409567492,-10.4512743115256,1.44569513795454e-25,1.87350436920618e-24
"10630",197.909960284279,-1.06010457459288,0.201808383645148,-5.25302544643994,1.4962085525215e-07,3.95402391669028e-07
"27129",386.950370755175,-4.22865373145599,0.271420911592516,-15.5796902554232,1.00038309166791e-54,1.53177706250389e-52
"1969",1028.02997642962,-1.59655827028589,0.166676503211735,-9.57878428885515,9.81939093386563e-22,9.16856669265914e-21
"11240",1263.21034400101,-1.52553274568498,0.278762022507159,-5.4725271827363,4.43662679798093e-08,1.23729171456268e-07
"126917",626.398857654966,-1.74032961691478,0.20547044261129,-8.4699755098457,2.45444634915694e-17,1.58003448162445e-16
"54546",54.1326163750248,-2.87398542121048,0.360326239569197,-7.97606475910994,1.5107269830114e-15,8.27554107985208e-15
"5320",195.194328056283,-1.23910636188914,0.371867331211249,-3.33211943585664,0.000861872588265457,0.00150975896905282
"5322",103.242875672434,-1.78059643326832,0.238505955280722,-7.46562672270617,8.29040602126347e-14,3.90090368558591e-13
"65018",619.479078772603,-1.02126744357518,0.130085768878451,-7.8507238138357,4.13642974563499e-15,2.17420348951194e-14
"102464833",10.0554681438948,-1.67049121772886,0.222597216286422,-7.50454675758114,6.16415059706279e-14,2.92666315907795e-13
"57576",499.59989316679,-1.13710155788414,0.177289438959557,-6.41381440743087,1.4192297106795e-10,4.99907778687108e-10
"249",945.844593471125,-1.83630128417755,0.246743099396072,-7.44215862033051,9.9053181578782e-14,4.62356023032587e-13
"3339",13224.9928669339,-1.82738565770394,0.197198012101158,-9.26675496488542,1.91895224909555e-20,1.61740260995196e-19
"712",549.57559806005,-1.39001069972841,0.200741977817465,-6.9243648729632,4.37935829804978e-12,1.76851825524384e-11
"713",523.13809294772,-1.19367717702608,0.244264936539437,-4.88681344910655,1.02481113176102e-06,2.49642438952846e-06
"3399",250.441568963952,-1.52730257103162,0.216596856681829,-7.0513607373128,1.77176497562709e-12,7.39884451834924e-12
"400746",133.283004727261,-1.41543208341036,0.304713101549218,-4.64513037415864,3.39861758036179e-06,7.8542843084383e-06
"25932",1240.71031980308,-2.00362081744154,0.159406691429243,-12.5692390920171,3.11709449514952e-36,9.75476141036816e-35
"79927",81.8449098984963,-2.43334529003481,0.23263143077231,-10.4600882260681,1.31732948662563e-25,1.71579664374469e-24
"388610",71.1272065950033,-1.20008052507846,0.250420435339422,-4.7922627538438,1.64910727752645e-06,3.92502179932368e-06
"101928391",23.334408596254,-1.19176818530564,0.287101246576905,-4.15103800319586,3.30970798660318e-05,6.85057356351627e-05
"8547",155.353099612102,-1.44887812516922,0.176391634963951,-8.21398432791512,2.13967521151668e-16,1.25923141480337e-15
"23673",465.152739288207,-1.13554189019486,0.0923798608389447,-12.2920935351328,9.988522383533e-35,2.73636581250269e-33
"64129",1267.49457288323,-2.06088002074899,0.171692481574799,-12.0033212977422,3.41319273238301e-33,8.26751128510552e-32
"2701",299.430426140799,-1.66257518898459,0.217598622241454,-7.64055935583887,2.16280061351924e-14,1.06623003032137e-13
"284654",193.558983261557,-2.03785748330822,0.325907153825847,-6.25287742041152,4.02958414134201e-10,1.35783367110141e-09
"84618",106.564680262005,-2.53627734780581,0.279480375114584,-9.07497475186215,1.13703860132955e-19,8.95565859785712e-19
"9783",262.057493803533,-1.59699647822933,0.191867101584213,-8.32345131105438,8.5438380484116e-17,5.23040671007473e-16
"149461",191.506942742882,-1.89378344388069,0.301196454508699,-6.28753564503197,3.22544969026762e-10,1.09736103468383e-09
"7075",1089.07179033195,-1.82744208829822,0.195013556536084,-9.37084642092605,7.19531648653783e-21,6.26369953636884e-20
"100130197",33.5163622500372,-1.21165051656241,0.167405518360635,-7.23781705900637,4.55963895583854e-13,2.00225593205856e-12
