"","Gene","Module"
"1","DDX11L1","brown"
"2","WASH7P","brown"
"3","MIR6859-1","brown"
"4","MIR1302-2","green"
"5","FAM138A","turquoise"
"6","OR4F5","turquoise"
"7","WASH9P","grey"
"8","LOC729737","brown"
"9","DDX11L17","brown"
"10","LOC102723897","brown"
"11","MIR6859-2","brown"
"12","LOC112268260","turquoise"
"13","OR4F29","turquoise"
"14","LOC100132287","brown"
"15","LOC101928626","turquoise"
"16","MIR12136","blue"
"17","OR4F16","green"
"18","100133331","brown"
"19","107984841","brown"
"20","107984847","brown"
"21","107984849","brown"
"22","LOC100288069","blue"
"23","LINC01409","blue"
"24","LINC00115","blue"
"25","LINC01128","yellow"
"26","LOC284600","blue"
"27","LINC02593","grey"
"28","LOC107985728","grey"
"29","SAMD11","brown"
"30","NOC2L","grey"
"31","KLHL17","brown"
"32","PLEKHN1","brown"
"33","PERM1","brown"
"34","HES4","brown"
"35","ISG15","grey60"
"36","AGRN","blue"
"37","LOC100288175","brown"
"38","112267874","brown"
"39","LOC105378948","brown"
"40","RNF223","brown"
"41","C1orf159","brown"
"42","LINC01342","brown"
"43","MIR200B","turquoise"
"44","MIR200A","pink"
"45","MIR429","brown"
"46","TTLL10-AS1","pink"
"47","TTLL10","pink"
"48","TNFRSF18","brown"
"49","TNFRSF4","pink"
"50","SDF4","brown"
"51","B3GALT6","blue"
"52","C1QTNF12","pink"
"53","UBE2J2","blue"
"54","LINC01786","black"
"55","SCNN1D","brown"
"56","ACAP3","brown"
"57","SNORD167","brown"
"58","PUSL1","grey"
"59","INTS11","brown"
"60","MIR6727","brown"
"61","CPTP","blue"
"62","TAS1R3","brown"
"63","DVL1","brown"
"64","MIR6808","brown"
"65","MXRA8","purple"
"66","AURKAIP1","grey"
"67","CCNL2","blue"
"68","MRPL20-AS1","grey"
"69","MRPL20","grey"
"70","107984868","turquoise"
"71","ANKRD65","yellow"
"72","ANKRD65-AS1","turquoise"
"73","LINC01770","grey"
"74","LOC107985729","grey"
"75","VWA1","blue"
"76","ATAD3C","brown"
"77","ATAD3B","brown"
"78","ATAD3A","brown"
