"","categoryER+","categoryHER2+","categoryTNBC"
"ME8",2.73896803849893e-05,2.65564869357544e-10,2.34750232479774e-05
"ME3",7.32257995092086e-28,1.80140861347591e-14,0.000119217436492413
"ME7",4.00968895168941e-82,1.57496216081521e-27,0.000505321417749845
"ME18",0.000931992286563111,0.848553801725979,0.506364308843869
"ME6",4.55279913715854e-09,0.0528507429391783,7.50232558461305e-09
"ME4",0.0354703108184939,8.20903496860523e-27,0.895774070092969
"ME10",0.394949091811583,3.82588288730149e-17,0.385430764994535
"ME11",3.04415785905578e-16,9.00315121990629e-08,2.81635552162121e-57
"ME15",0.552275095906452,4.70651048624998e-43,1.66110657133557e-20
"ME1",3.91578527775078e-15,6.3730388863719e-80,5.83648981609688e-17
"ME13",0.0851300947025555,0.000213101831180447,0.00773809167708579
"ME9",1.22258358895897e-15,1.24824408681129e-21,0.859552314184436
"ME12",2.85122485146682e-12,6.40823497198575e-19,0.0270101502262327
"ME19",0.0200835462381894,0.0021196000591594,0.140075907430642
"ME2",1.28123969920967e-11,3.09155811188624e-65,6.7963294513068e-05
"ME14",8.45352132741749e-08,8.90247589420197e-09,0.723697598011301
"ME17",0.00857656110593713,2.9914529372615e-05,6.61236174629388e-13
"ME5",0.340818350039501,0.661384776300032,0.81084460976276
"ME16",0.509458084837842,3.15420854433689e-07,0.83876970723816
"ME0",0.697060754392592,0.271447282397467,1.69878030387209e-10
