"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR6859-1",50.944109485151,1.70768526005416,0.681913064081323,2.50425655410307,0.0122709019264651,0.0330253903699925
"FAM138A",122.914965821172,-5.18209394789879,1.03921221509782,-4.9865598889357,6.14638599539822e-07,8.04629177331419e-06
"LOC729737",1422.18229595197,1.82488331920297,0.566099832818053,3.22360688594214,0.00126587046629252,0.00508721322838758
"LOC100132287",1235.99612392538,1.53027484876558,0.467320374636375,3.27457335870771,0.00105821659499607,0.00439279696047916
"MIR12136",500.646606536347,2.81204493558671,0.768292669244393,3.66012204483524,0.000252095147755711,0.00133391434653747
"100133331",949.009697714219,1.09493447213345,0.469794778490269,2.33066547834383,0.019771005867851,0.0489028225908268
"107984841",142.880814949814,1.71921204942548,0.504900319004513,3.40505241275182,0.000661513560205315,0.00298330554395539
"107984847",178.325905384177,1.76348552732107,0.50697596986625,3.4784400684441,0.000504341201055937,0.00237178666470986
"LOC100288069",64.2071411720752,1.30112105607931,0.422404397081381,3.08027346559235,0.00206810612164235,0.00768563448037098
"LINC01409",39.2737763350928,2.44326709319004,0.488006385167398,5.00662935455639,5.53914417403267e-07,7.35996615355456e-06
"LINC00115",86.6635266310535,1.77686318943588,0.527936988977621,3.36567284833911,0.000763572106765594,0.00336568349459187
"LOC284600",134.516480477805,3.33374943004906,0.998408077579593,3.33906496242594,0.000840609036681339,0.00362947176148136
"LINC02593",94.2948448842241,2.79172384745943,0.976527950497798,2.85882636133078,0.00425211464473242,0.0139336429878244
"SAMD11",415.056384547555,1.4546601614952,0.559005985020658,2.60222645280165,0.00926206714334487,0.0262745274807458
"KLHL17",693.330887658036,1.60943720309696,0.473062783464456,3.40216406649094,0.000668544899446799,0.00301132008288731
"PLEKHN1",805.177754731415,1.96996107372064,0.604893219707261,3.25670880337195,0.00112711997270472,0.00462277330641839
"ISG15",632.234379360354,2.01046844319435,0.807793294347812,2.48884022343555,0.0128160547660539,0.0342529842607314
"C1orf159",759.594418666794,1.66584807105322,0.45185521532794,3.68668550133744,0.000227193847260388,0.00122113132614422
"TAS1R3",272.30599130793,1.83149838471818,0.643669968706475,2.8453997759112,0.00443557154527287,0.0144339838621884
"MXRA8",2776.56482786208,-1.51910163768416,0.638742926947767,-2.37826764664649,0.017394195399788,0.0439968812649113
"CCNL2",2865.31050920741,1.6394272652986,0.530090688516406,3.09272979287178,0.00198324622646904,0.00742930332455069
"ANKRD65",195.685651355613,-2.09882887512155,0.679126671997845,-3.0904821760972,0.00199831798037237,0.00747161798358995
"ATAD3C",644.165497155079,1.70168633919282,0.680667738875505,2.50002496372766,0.0124184555354205,0.0333591121985587
"ATAD3B",1329.2930116143,1.046899399007,0.420511976555231,2.48958283562585,0.0127893111523529,0.0341919476991237
"TMEM240",50.1391693086703,-1.97137744646634,0.726710547547891,-2.71274092982175,0.00667292532074073,0.0201780099859803
"CDK11A",1597.49369259663,1.58284216477423,0.453893865411287,3.48725172423287,0.000488011795043103,0.00231147402240633
"LOC107984872",15.2581268270168,3.87387020660131,0.98752774811918,3.92279631026003,8.75271462760947e-05,0.000551174617088436
"GABRD",199.618450218049,2.53795397292048,0.653246354989925,3.88514065717156,0.000102270659827162,0.000630134240333873
"ACTRT2",69.0488564061853,-4.61623834063728,1.20201543367161,-3.84041519877725,0.000122826396433852,0.000731555040950313
"PRDM16-DT",52.7157652652523,-4.3658682796779,1.05305249994166,-4.14591701735647,3.38456396393821e-05,0.000245634596398315
"PRDM16",361.293842252078,-2.11357968416438,0.750700870415247,-2.815475201188,0.00487051557604603,0.0155987478434024
"ARHGEF16",855.886000497513,1.59830693087608,0.462088602650357,3.45887546610936,0.00054243564469308,0.00252280139650783
"TPRG1L",417.960695848954,-1.80380549608424,0.405350951778054,-4.44998460758986,8.58764440489054e-06,7.75117770776857e-05
"WRAP73",333.05504636998,1.08817322153691,0.266541151774918,4.08257116880708,4.45401657252082e-05,0.000309997625301747
"CCDC27",190.225263771598,-2.33915579760401,0.816574159651952,-2.86459688927828,0.00417540397849219,0.0137017594007824
"AJAP1",121.810366619986,-3.47417629642443,0.574115614169936,-6.05135309104497,1.43634235778927e-09,4.3986274775918e-08
"107985733",23.037110827709,1.63341781286421,0.635075996148738,2.57200370155646,0.0101111810678279,0.0282379786981658
"ACOT7",438.20106452063,1.62596679871262,0.440944203831577,3.68746608886977,0.000226498266467796,0.00121790163181806
"PLEKHG5",1409.80320175193,-1.30026204129408,0.427641785020326,-3.04054020640728,0.00236154158953487,0.00857942563708694
"TAS1R1",162.719493005676,-2.83587016611445,0.766640019428405,-3.69908965648418,0.000216374162737998,0.00117228495414327
"KLHL21",894.162424545974,-1.24759656837602,0.407023946774452,-3.06516748771875,0.00217548131421185,0.00801619570715303
"LOC107984913",7.7547123375949,-1.59303321252741,0.678167298310442,-2.34902687949748,0.0188225479581192,0.0469678168274962
"PER3",784.110684754798,-2.19290627298637,0.407422605690789,-5.38238733530331,7.35043835973894e-08,1.28890713269205e-06
"TNFRSF9",171.107084854498,2.96667892382513,0.621129605755616,4.77626391711937,1.78581986564465e-06,2.01501484002711e-05
"SLC45A1",244.163023879622,-2.67238348261286,0.553601277971788,-4.82727115877258,1.3841659867246e-06,1.62328029923271e-05
"RERE-AS1",6.48963284732133,2.77057706417273,0.637187809996325,4.34813256108699,1.37301611657891e-05,0.000115159656285869
"CA6",150.58973169508,-4.04184752789531,1.08159692465935,-3.73692586928193,0.00018628381461275,0.0010381206341201
"SLC2A7",201.573909735037,-7.08754477503113,1.24089600320587,-5.7116347838339,1.11896022603816e-08,2.56771925554021e-07
"GPR157",282.063189753485,1.335830470553,0.468868449117776,2.84905173949432,0.00438497488311857,0.0142946513614678
"H6PD",1576.10636676623,-1.35969873682648,0.348930646995123,-3.89675928020586,9.74884302808839e-05,0.000604578683834489
"SPSB1",424.822051309054,-1.10586827925995,0.474213585292159,-2.33200463579852,0.0197004472844746,0.0487564273567274
"LINC02606",12.3361527332924,-3.31299170682974,0.616778021837653,-5.37144902952098,7.81064466658464e-08,1.36495260464146e-06
"PIK3CD-AS1",84.3592549366945,2.75919342857013,0.677162565044978,4.07463963750987,4.60856541765203e-05,0.000318599131426178
"TMEM274P",7.82040066676671,2.08386041469744,0.896124941664364,2.32541280552588,0.0200498974018941,0.0494215753896439
"RBP7",129.965177708954,-2.99008269400676,0.637291381284564,-4.69186118283879,2.70730806002748e-06,2.87661266155089e-05
"CENPS-CORT",76.9186808258177,1.09872500972656,0.344926562925281,3.18538821831639,0.00144559938809319,0.00569385984677831
"CENPS",67.1602454262125,1.22226734119081,0.353954216275948,3.45317921072004,0.000554020807953648,0.0025652273759708
"C1orf127",270.189918255896,2.06776215935666,0.695206230653935,2.97431476903142,0.00293643683075103,0.0102631659013912
"ANGPTL7",92.091155299115,-2.22675306895212,0.589656724782345,-3.77635491187531,0.000159140188661672,0.000911133365932081
"FBXO2",404.04357959816,-2.54995410651649,0.680314841461471,-3.74819708627641,0.000178110276519138,0.000999064272389513
"PLOD1",2933.84403279022,-1.14056518845768,0.405380275951906,-2.81356853334667,0.00489949411259357,0.0156817950170906
