"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM138A",122.914965821172,-5.18209394789879,1.03921221509782,-4.9865598889357,6.14638599539822e-07,8.04629177331419e-06
"MXRA8",2776.56482786208,-1.51910163768416,0.638742926947767,-2.37826764664649,0.017394195399788,0.0439968812649113
"ANKRD65",195.685651355613,-2.09882887512155,0.679126671997845,-3.0904821760972,0.00199831798037237,0.00747161798358995
"TMEM240",50.1391693086703,-1.97137744646634,0.726710547547891,-2.71274092982175,0.00667292532074073,0.0201780099859803
"ACTRT2",69.0488564061853,-4.61623834063728,1.20201543367161,-3.84041519877725,0.000122826396433852,0.000731555040950313
"PRDM16-DT",52.7157652652523,-4.3658682796779,1.05305249994166,-4.14591701735647,3.38456396393821e-05,0.000245634596398315
"PRDM16",361.293842252078,-2.11357968416438,0.750700870415247,-2.815475201188,0.00487051557604603,0.0155987478434024
"TPRG1L",417.960695848954,-1.80380549608424,0.405350951778054,-4.44998460758986,8.58764440489054e-06,7.75117770776857e-05
"CCDC27",190.225263771598,-2.33915579760401,0.816574159651952,-2.86459688927828,0.00417540397849219,0.0137017594007824
"AJAP1",121.810366619986,-3.47417629642443,0.574115614169936,-6.05135309104497,1.43634235778927e-09,4.3986274775918e-08
"PLEKHG5",1409.80320175193,-1.30026204129408,0.427641785020326,-3.04054020640728,0.00236154158953487,0.00857942563708694
"TAS1R1",162.719493005676,-2.83587016611445,0.766640019428405,-3.69908965648418,0.000216374162737998,0.00117228495414327
"KLHL21",894.162424545974,-1.24759656837602,0.407023946774452,-3.06516748771875,0.00217548131421185,0.00801619570715303
"LOC107984913",7.7547123375949,-1.59303321252741,0.678167298310442,-2.34902687949748,0.0188225479581192,0.0469678168274962
"PER3",784.110684754798,-2.19290627298637,0.407422605690789,-5.38238733530331,7.35043835973894e-08,1.28890713269205e-06
"SLC45A1",244.163023879622,-2.67238348261286,0.553601277971788,-4.82727115877258,1.3841659867246e-06,1.62328029923271e-05
"CA6",150.58973169508,-4.04184752789531,1.08159692465935,-3.73692586928193,0.00018628381461275,0.0010381206341201
"SLC2A7",201.573909735037,-7.08754477503113,1.24089600320587,-5.7116347838339,1.11896022603816e-08,2.56771925554021e-07
"H6PD",1576.10636676623,-1.35969873682648,0.348930646995123,-3.89675928020586,9.74884302808839e-05,0.000604578683834489
"SPSB1",424.822051309054,-1.10586827925995,0.474213585292159,-2.33200463579852,0.0197004472844746,0.0487564273567274
"LINC02606",12.3361527332924,-3.31299170682974,0.616778021837653,-5.37144902952098,7.81064466658464e-08,1.36495260464146e-06
"RBP7",129.965177708954,-2.99008269400676,0.637291381284564,-4.69186118283879,2.70730806002748e-06,2.87661266155089e-05
"ANGPTL7",92.091155299115,-2.22675306895212,0.589656724782345,-3.77635491187531,0.000159140188661672,0.000911133365932081
"FBXO2",404.04357959816,-2.54995410651649,0.680314841461471,-3.74819708627641,0.000178110276519138,0.000999064272389513
"PLOD1",2933.84403279022,-1.14056518845768,0.405380275951906,-2.81356853334667,0.00489949411259357,0.0156817950170906
"TNFRSF8",278.053201946143,-2.63859389985291,0.552448398508682,-4.77618164334573,1.78655028554697e-06,2.01501484002711e-05
"TNFRSF1B",730.829131150421,-2.20147425159635,0.42189459231108,-5.21806700469181,1.80800063073118e-07,2.77840405148596e-06
"LINC02766",13.7506190036234,-2.26355617468871,0.703797805233467,-3.21620237780911,0.00129899192690281,0.00519839270809705
"DHRS3",743.691518159894,-1.74125150462549,0.421144579087313,-4.13456943551087,3.55620724846743e-05,0.000256246149186488
"AADACL4",112.261009673834,-5.88835089425313,1.07621925769238,-5.47133017009831,4.46670252345912e-08,8.48607501576532e-07
"AADACL3",82.4763316463619,-8.84605684357692,1.16364325118149,-7.60203510362404,2.91509628040359e-14,3.20461268021803e-12
"CFAP107",65.2564048075315,-4.72498252731746,1.07493419803301,-4.39560164330392,1.10466357441239e-05,9.61636744100994e-05
"PRAMEF12",72.9011937397976,-3.75381060456598,1.16767679241582,-3.21476852922604,0.00130549746299882,0.00521874385985729
"PRAMEF1",129.616358264234,-2.68092718168309,1.09712675471241,-2.4435892846181,0.0145419708617991,0.0380160222000934
"PRAMEF11",163.283343574368,-4.62996643525059,1.16822305798913,-3.96325547898376,7.39345867083864e-05,0.000476545554619527
"HNRNPCL1",90.6728882674463,-2.71973542755005,0.686063649994514,-3.96426108214857,7.36236412576368e-05,0.000474779279947718
"PRAMEF2",97.262280495641,-3.32483480893835,1.21364176202501,-2.73955207621624,0.00615229674060786,0.0188631324619066
"PRAMEF4",147.90021232127,-2.95862382689785,1.1609210026498,-2.54851434347797,0.0108182838012853,0.0298833091858928
"PRAMEF10",109.996574725193,-2.92720498334224,1.1705534834437,-2.50070161230957,0.0123947560693723,0.0333099357635326
"HNRNPCL3",42.6700617918194,-4.1303232257677,1.08320364817091,-3.8130625139069,0.000137255377521874,0.000804089576718897
"PRAMEF25",184.0052328788,-4.72649043458529,1.14358259325772,-4.13305559428021,3.57972094250594e-05,0.000257507666456999
"PRAMEF34P",34.1868152197564,-6.51628092249625,1.03220981397971,-6.31294222767806,2.73779723478283e-10,1.03417174842223e-08
"HNRNPCL2",74.3861287723319,-2.85198841156744,0.839595571934997,-3.39685975831735,0.000681638911546921,0.00305798384384949
"PRAMEF36P",34.7252997377911,-6.39876895618105,1.01881886900745,-6.28057562618056,3.37321744706208e-10,1.23784087886198e-08
"PRAMEF26",172.536005635588,-3.86075274803197,1.15169387031809,-3.35223868732205,0.000801608754744071,0.00349916572323714
"HNRNPCL4",31.1241359902565,-4.02086691192308,1.06646312229383,-3.77028218591813,0.000163063066091664,0.000929661859960544
"PRAMEF9",144.007989396212,-2.81016953343996,1.19178026152835,-2.35795945289124,0.0183756999536045,0.046044857355009
"PRAMEF13",77.1929600349259,-3.55203549308409,1.18869010526034,-2.98819303480796,0.00280632246288639,0.00988239912857404
"PRAMEF18",168.449206623734,-3.77662804507782,1.16330785155027,-3.24645624977509,0.00116851406592921,0.00476217614574826
"PRAMEF5",166.086319366011,-2.79910569529865,1.0892124693822,-2.5698436016678,0.0101744437281719,0.0283869187053681
"PRAMEF15",223.000766219029,-3.62019219751989,1.14647577486125,-3.15767003272093,0.00159035459763657,0.00616304333678867
"PRAMEF14",162.876540444223,-4.45748700823154,1.15903338379332,-3.84586593497671,0.000120127435266973,0.000718307332591262
"PRAMEF17",133.352626376306,-2.90146226407093,1.18232026048166,-2.45404088980842,0.0141260917687829,0.0371439828948351
"PRAMEF20",192.277128786702,-3.31094418876402,1.16104407903895,-2.85169551142678,0.00434867343045934,0.014199704915605
"LRRC38",31.2513402228962,-6.0922664046181,1.12766489927542,-5.4025503574091,6.57000045098053e-08,1.16556339035188e-06
"CTRC",241.938427194917,-2.10929925827874,0.800015788404843,-2.636572038765,0.00837484155192079,0.0242687233683533
"CELA2A",116.015771714949,-2.45187971518131,0.977097632953609,-2.5093497645365,0.0120953654326742,0.0326554555405238
"LOC105376767",17.256964120384,-2.54565406361315,0.999456627818546,-2.54703805323639,0.0108641585575816,0.0299699318750915
"CELA2B",113.365821990258,-1.43708644403407,0.546503100806487,-2.62960345863241,0.00854845163414894,0.0246840961083702
"HSPB7",386.950370755175,-6.69203428963217,0.756389714457175,-8.84733644803027,8.96328564895502e-19,2.81184829309413e-16
"CLCNKA",482.198306192511,-2.16572787866092,0.767019404864804,-2.8235633478434,0.00474930394755408,0.0152637549658772
"CLCNKB",448.756078530386,-2.82420336547237,0.830703935836263,-3.39977125861246,0.00067442246965838,0.00303248446241779
"EPHA2",1028.02997642962,-1.96078001321676,0.442487818119312,-4.43126326403875,9.36826272505246e-06,8.35028379553879e-05
"EPHA2-AS1",38.4005679860782,-2.45479536335249,0.764564873209928,-3.21070905735748,0.00132407917615603,0.0052823530904835
"ANO7L1",96.5137234861367,-1.30507750046962,0.501503240519955,-2.60233114170215,0.00925923997880348,0.0262694043470542
"CPLANE2",130.418791161162,-1.42250503704348,0.429289542329471,-3.31362611193481,0.000920945653657322,0.00391420497923956
"PADI4",226.826108274252,-3.63110437819477,0.790987749924678,-4.59059495996055,4.41984312469706e-06,4.35951091026484e-05
"PADI6",214.201949066687,-3.56125525554589,1.07024661439739,-3.32750901300547,0.000876261545498447,0.00376058591865233
"IGSF21",267.501125978641,-2.38733728970616,0.694311383619862,-3.43842452540463,0.000585109618957215,0.00268678326277319
"KLHDC7A",245.935884218567,-2.72464686658134,1.04301144371303,-2.61228856404666,0.00899383051436062,0.0257063662390458
"ALDH4A1",1075.41758357027,-1.59264858908183,0.616472109611509,-2.58348847295865,0.0097806735402441,0.0274996665922269
"MICOS10-NBL1",969.28931098489,-1.89554417313237,0.575831446014634,-3.29183858618968,0.000995347219861585,0.00417212186470905
"NBL1",979.597479896747,-1.84029988649379,0.555888140554368,-3.31055792026526,0.000931101803631018,0.00395111560485059
"RNF186",54.1326163750248,-5.10541047440087,1.15818743534223,-4.40810383415382,1.04279552275881e-05,9.16263607762257e-05
"PLA2G2E",55.1677280216456,-4.42882585398235,1.14413697052089,-3.87088781159309,0.000108439693004103,0.000661176265190224
"PLA2G5",103.242875672434,-3.51054811507144,0.724365313742795,-4.84637799252486,1.25735852304264e-06,1.48983374697139e-05
"VWA5B1",377.456061294961,-3.21795487208121,0.929657476985066,-3.4614413929281,0.000537291091595482,0.00250023083216393
"MUL1",314.842170386607,-1.62956416316175,0.333282930998205,-4.88943180582664,1.0112744759723e-06,1.23803222334709e-05
"PINK1",619.479078772603,-2.09901847824149,0.345867449228274,-6.06885233902464,1.28827523409284e-09,3.98791722284045e-08
"MIR6084",10.0554681438948,-2.93345970617768,0.671229941258798,-4.37027540916363,1.2408992708316e-05,0.000105733331708751
"PINK1-AS",388.822075252935,-1.04147531034367,0.255916363075898,-4.06959249430561,4.70954399664161e-05,0.000324099277072255
"KIF17",499.59989316679,-3.52881290996571,0.539756691301264,-6.53778446258503,6.24368150907468e-11,2.87321043183251e-09
"ECE1",3293.48642759387,-1.10441075977192,0.339517699723675,-3.25288125087669,0.00114241228154735,0.00467431422467379
"LDLRAD2",1758.55204723019,-1.54216459517406,0.426079931425417,-3.61942556180683,0.000295257728370232,0.00152208613318554
"HSPG2",13224.9928669339,-1.81126717254612,0.51787568246701,-3.49749415519525,0.000469651003752232,0.00224476076189566
"CELA3B",114.438465619879,-4.76325944860661,1.09660142912497,-4.34365606509144,1.4013084525231e-05,0.000116846867529025
"CELA3A",145.778493587161,-4.87067156275385,1.03801549739941,-4.69229175764385,2.70161473546374e-06,2.87293664551754e-05
"LACTBL1",58.5666856959957,-2.87872662981685,1.16683365559495,-2.46712684024273,0.0136202101534181,0.0360088680356142
"LOC105376861",24.228930878093,-3.60321858162143,1.06038336852314,-3.39803385132288,0.000678720212236472,0.00304824247421473
"MYOM3",567.105975339772,-3.94995955704128,0.666499275677445,-5.92642738137481,3.09596199830486e-09,8.46339282087081e-08
"MYOM3-AS1",28.5850837066469,-3.39463901499131,0.960404342837498,-3.53459357020597,0.000408402807425811,0.00199010301538578
"IL22RA1",182.573150829234,-3.2996043522633,0.719647484929387,-4.58502867217978,4.53924140786595e-06,4.46387035478986e-05
"CLIC4",1240.71031980308,-1.06558197797318,0.418282815598762,-2.54751555224143,0.0108493017048701,0.029948217304011
"MAN1C1",425.699676742389,-1.52818103407484,0.4756464581947,-3.21285065356106,0.00131424609600396,0.00524719332199375
"PAQR7",240.485780293734,-1.84631266408699,0.36979793298997,-4.99276090906941,5.95222242452777e-07,7.8199678063612e-06
"TRIM63",130.831609153787,-3.2198616761198,0.87093617909198,-3.69701219609083,0.00021815186570335,0.00118092142116014
"FAM110D",81.8449098984963,-3.1839554736884,0.653781957342745,-4.87005711602899,1.11565995036548e-06,1.34864833473692e-05
"DHDDS",646.488044458193,-1.4848805716447,0.292741043425804,-5.07233476477327,3.92964305445265e-07,5.45232674933873e-06
"GPATCH3",322.47136602737,-1.23732966933274,0.268578736491601,-4.60695319925835,4.0861192164768e-06,4.08040880142272e-05
"NR0B2",71.7393525293151,-3.71188608431594,1.1161813437338,-3.32552242084524,0.000882530018988697,0.00377992044762991
"TRNP1",71.1272065950033,-2.63674939960296,0.673424058110989,-3.91543688979462,9.02406482920243e-05,0.000565355683551883
"TENT5B",375.816260410236,-2.36807906317736,0.678966385531802,-3.48777069622166,0.000487065601876632,0.00230784224399972
"FCN3",155.353099612102,-1.65473189405423,0.517894043511316,-3.19511667451351,0.00139774322062881,0.00552482277311855
"TMEM200B",161.2356725765,-2.25669749538701,0.532058152778854,-4.24144895365411,2.22081402818276e-05,0.000172592809851883
"MATN1",144.007495762529,-1.26873287007869,0.533044104502009,-2.3801649044857,0.0173048920334996,0.0438183918367698
"FABP3",94.7563591309971,-1.05263618045761,0.42679659467731,-2.46636499350113,0.0136492171328205,0.0360781403128519
"TINAGL1",1267.49457288323,-2.40805330346921,0.454423337593475,-5.29914092049436,1.16348811311427e-07,1.90877348353007e-06
"HCRTR1",215.340137270456,-1.20323375432347,0.394695100119667,-3.04851454694689,0.00229975778196962,0.0083937243449754
"FAM167B",64.8695256311011,-2.14507692203401,0.638480333595644,-3.35966013229236,0.000780384109139169,0.0034233630326562
"FNDC5",98.7637325252535,-1.37934734203854,0.551286316564299,-2.50205256432782,0.0123475590755797,0.0332005518073887
"GJA4",299.430426140799,-1.67594057022546,0.590914634877542,-2.83618050951263,0.00456566331405288,0.0147614437596074
"COL8A2",568.383760565731,-2.53690450946796,0.568088704341474,-4.46568377452379,7.98134264668904e-06,7.28315211931283e-05
"MAP7D1",2121.6498300315,-1.77852402779564,0.38557976091452,-4.61259694641992,3.97668964008751e-06,3.98971779647469e-05
"GRIK3",508.435224470112,-5.21903702949334,0.778509504821535,-6.70388350709958,2.02952079652991e-11,1.07658146099664e-09
"RSPO1",193.558983261557,-4.48468424806696,0.937017092371216,-4.78612853978791,1.70029184592381e-06,1.93312069642738e-05
"LOC105378654",25.2149850978269,-3.93671963527995,0.902358963909792,-4.36269798686623,1.28468234756425e-05,0.000108564943195607
"LINC01343",21.8300355344792,-3.97605579250289,1.15340802676885,-3.44722396604208,0.000566378847522891,0.00261405043951332
"NT5C1A",106.564680262005,-5.86671694810224,0.891954081111994,-6.57737553124735,4.78824380905154e-11,2.26005107787233e-09
"RIMS3",262.057493803533,-1.64333403141558,0.507665271443018,-3.23704244480712,0.00120775446669242,0.00489326117762224
"CITED4",904.452045885585,-1.9439906455745,0.834807327846744,-2.32866983881025,0.019876563125105,0.0491072521926816
"GUCA2B",51.1753171127793,-3.57094036919166,1.19541048755396,-2.98720849981707,0.00281537640693468,0.00990193364670326
"CLDN19",191.506942742882,-7.08119501342744,1.03703019064096,-6.82834027141556,8.5902641688987e-12,5.02602428217466e-10
"ERMAP",419.104285790005,-1.05008827424119,0.294795489193597,-3.56209071283169,0.000367913207212046,0.00182636035166397
"CFAP57",514.794211530267,-1.797024367262,0.502083126688038,-3.57913714232137,0.000344730536841576,0.00172896243511654
"TIE1",1089.07179033195,-2.94322142577843,0.517038679590672,-5.69245888549096,1.25222758251977e-08,2.81084662589343e-07
"ZSWIM5",358.271917216802,-2.03920915877461,0.538155908647991,-3.78925349699813,0.000151100663761017,0.000872091872243303
"LURAP1",55.1647616174206,-1.65450160525169,0.550231496736743,-3.00691911507072,0.00263909973839526,0.00940227782073668
"KNCN",92.2579569679095,-4.30521178696215,1.28578987836463,-3.34830119555605,0.000813085927717307,0.00353724236651115
"MOB3C",284.728201060738,-1.71817153746275,0.314386042278742,-5.46516481777962,4.62476891138293e-08,8.71557182977395e-07
"EFCAB14",893.73582817344,-1.01310154833272,0.341949245527,-2.96272491191306,0.00304928947749146,0.0105731315082088
"CYP4A11",203.661126461035,-3.70298640410539,0.765912372031613,-4.83473898493514,1.33320450647428e-06,1.57246000571042e-05
"CYP4A22",177.942685305484,-1.97058573064109,0.715711748942159,-2.75332315496241,0.00589936327109763,0.0182529733925566
"TAL1",120.688672255819,-2.65066596529713,0.606117638597467,-4.37318730969564,1.22445579251726e-05,0.000104712062478474
"TRABD2B",258.5879373587,-3.41170544757348,0.700978397641813,-4.86706217916403,1.13269400101687e-06,1.36411144579391e-05
"BEND5",145.197449290594,-1.34432513726968,0.478724462745576,-2.80813963330747,0.0049828616175307,0.0158932588033924
"CDKN2C",198.115743451714,-1.73429044945543,0.512576870004208,-3.38347387669129,0.00071575016292004,0.00318264322805454
"C1orf185",59.8697202763261,-3.16730251952984,1.20513931836975,-2.62816296112088,0.00858473790730754,0.0247599280107163
"RNF11",571.952523134502,-1.13330030861515,0.432029437344573,-2.62320159381006,0.00871077139295634,0.0250616131654635
"PODN",988.137562139048,-2.30031868008741,0.649241723917934,-3.54308510273467,0.000395475058038966,0.00194070972777458
"SLC1A7",250.880225968974,-4.65292567039188,0.665537062980405,-6.99123449196829,2.72477892424627e-12,1.83487468710238e-10
"LDLRAD1",96.5797893586483,-2.41401682577156,0.811026578016282,-2.97649533468568,0.00291563518328973,0.0102015505243396
"CDCP2",161.513655054468,-2.21560652915211,0.752371658159252,-2.94482986583094,0.00323132293133982,0.0110830068114381
"BSND",127.374544576437,-3.26391907118819,1.1186722491769,-2.91767233306246,0.00352654716248952,0.0118863861645546
"PLPP3",644.299162493188,-2.7001902150974,0.400360472360721,-6.74439761541832,1.53663200329034e-11,8.4282135719916e-10
"C8B",376.470046280417,-5.33535887869769,1.35337630804921,-3.94225822261379,8.07180038366681e-05,0.000513830717815999
"DAB1",243.424890275936,-2.0576914383287,0.765017820127743,-2.6897300745035,0.00715098343095735,0.0213404720585998
"JUN",4981.59408324207,-2.40778630223878,0.616413281739208,-3.90612333245841,9.37886557502021e-05,0.000585303100562397
"JUN-DT",64.9293725952453,-1.76373669531537,0.690478949813928,-2.55436707489876,0.0106381039716117,0.029460069605527
"C1orf87",191.869925758785,-3.48566622841086,1.01594555430038,-3.43095770600741,0.000601454366642588,0.00274810162122805
"KANK4",545.480857626701,-3.43003496299296,0.684341448116256,-5.01216895810505,5.38199145135477e-07,7.18082718333248e-06
"PGM1",795.868410509136,-1.50752830698457,0.412579362347458,-3.65391108854105,0.000258275736958477,0.00136173089926621
"CACHD1",633.171336048222,-1.70312305452267,0.479545112972406,-3.55153875714854,0.000382985583204025,0.0018898755308537
"AK4",413.5762271308,-1.28341360548277,0.541385510081181,-2.37060944850616,0.0177587851604714,0.0447957432308262
