"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SKI",1654.60445787407,-1.16251884184801,0.164494249131912,-7.06723090918371,1.58055832532581e-12,6.51783942941345e-12
"PLCH2",899.108656511239,-1.16933451489881,0.239915365248699,-4.87394591708067,1.09390948745918e-06,2.56421793834518e-06
"PRDM16-DT",52.7157652652523,-2.00883383019449,0.323440124949294,-6.21083679864833,5.27031877192286e-10,1.71460326405645e-09
"PRDM16",361.293842252078,-1.84067661056949,0.275595978790808,-6.67889502105784,2.40750534203e-11,8.92372729371465e-11
"TPRG1L",417.960695848954,-1.09496670060385,0.153807369009644,-7.11907828379274,1.08651189148913e-12,4.55945055410544e-12
"AJAP1",121.810366619986,-2.02984770959538,0.206484261160935,-9.830520244898,8.31879125005172e-23,8.47495390559725e-22
"VAMP3",457.154922853762,-1.11775759893009,0.112008214343012,-9.97924666049127,1.87887841748237e-23,2.01804878544119e-22
"PER3",784.110684754798,-1.39085761092625,0.15444385889485,-9.00558701963791,2.14515092005924e-19,1.63453383494088e-18
"SLC45A1",244.163023879622,-1.30468881445587,0.17932338737841,-7.27561994857202,3.44833136324625e-13,1.51425189464231e-12
"SLC2A7",201.573909735037,-2.34848799758213,0.344154051241744,-6.82394407129173,8.85743775122572e-12,3.41756005268532e-11
"H6PD",1576.10636676623,-1.29222487597308,0.132433861835869,-9.75751109315673,1.71307713399883e-22,1.69750370550794e-21
"LINC02606",12.3361527332924,-1.38886513312872,0.205864090244182,-6.7465148073243,1.51438618897972e-11,5.72210198667954e-11
"RBP7",129.965177708954,-2.10779554551793,0.230637225444641,-9.13900842092748,6.30275623778172e-20,5.02735198327743e-19
"ANGPTL7",92.091155299115,-2.77473554363317,0.219417392146113,-12.6459234452364,1.1783190791929e-36,3.33088791133607e-35
"TNFRSF8",278.053201946143,-1.47796144743187,0.201705808644846,-7.32731227405646,2.34814247818523e-13,1.04740102494949e-12
"TNFRSF1B",730.829131150421,-1.61104643856105,0.160102560132628,-10.0625901124034,8.0842937718831e-24,8.93684456329699e-23
"DHRS3",743.691518159894,-1.04830211878998,0.159716000001087,-6.5635385232716,5.25456518027925e-11,1.88256872837748e-10
"AADACL3",82.4763316463619,-3.29326672356192,0.342450094986618,-9.61677853729493,6.79251706925963e-22,6.35615529609439e-21
"PRAMEF34P",34.1868152197564,-4.30386138952357,0.407095503855552,-10.5721172274373,4.01330256131762e-26,5.36581055547476e-25
"PRAMEF36P",34.7252997377911,-4.37801039291392,0.412990407435299,-10.6007556449112,2.95582189804411e-26,3.98300484574576e-25
"LRRC38",31.2513402228962,-2.44772767725476,0.287359749318317,-8.51799071742418,1.62345211978358e-17,1.05618822279496e-16
"SRARP",143.129540846415,-2.45395988143527,0.359064446978149,-6.83431596218327,8.23972393497484e-12,3.19118727045006e-11
"HSPB7",386.950370755175,-5.32448292886489,0.271851274166184,-19.5860142469298,2.03512803174208e-85,9.34850598009524e-83
"EPHA2",1028.02997642962,-1.33994314567547,0.166654357498336,-8.04025268699531,8.96534016529033e-16,4.98431835772484e-15
"IGSF21",267.501125978641,-1.72193813726792,0.254463963717176,-6.76692334786454,1.31549724665489e-11,4.99702468590525e-11
"KLHDC7A",245.935884218567,-2.76042835016631,0.396918557648962,-6.95464673286367,3.5344659253393e-12,1.41444619575962e-11
"ALDH4A1",1075.41758357027,-2.30376730650233,0.233819872805929,-9.85274381880475,6.66978078528032e-23,6.8547119824431e-22
"RNF186",54.1326163750248,-2.57134490591537,0.358589244762039,-7.17072512205915,7.46015598836928e-13,3.18303288513537e-12
"PLA2G2A",195.194328056283,-1.75684546790774,0.371964795997052,-4.72314984324933,2.3221961993724e-06,5.24784108167053e-06
"UBXN10",135.954801855726,-2.18337959795074,0.231639559884851,-9.42576302180901,4.26989613464629e-21,3.74493038416778e-20
"MUL1",314.842170386607,-1.1838746863634,0.125530583034418,-9.43096620557244,4.06328554692436e-21,3.57469074586465e-20
"PINK1",619.479078772603,-1.73048661795693,0.130153183712926,-13.295768636546,2.44943095637458e-40,8.86204809026436e-39
"MIR6084",10.0554681438948,-2.10883890678373,0.223564807342215,-9.43278565107831,3.99339728162871e-21,3.51681450436895e-20
"KIF17",499.59989316679,-1.71451868275585,0.177920626094866,-9.63642451348885,5.61082983477898e-22,5.29468036206363e-21
"ECE1",3293.48642759387,-1.36502004823545,0.128734963548873,-10.6033358040858,2.87537347376034e-26,3.88477453986403e-25
"LDLRAD2",1758.55204723019,-1.14506630535908,0.159622751902257,-7.17357827573504,7.3062446203838e-13,3.11995080701781e-12
"HSPG2",13224.9928669339,-2.30452437638964,0.197199496924029,-11.6862589019558,1.49842773489769e-31,2.98571301723534e-30
"ZNF436",422.373861587408,-1.02591763452367,0.113423557744371,-9.04501370725675,1.49646394362038e-19,1.15462023052461e-18
"MAN1C1",425.699676742389,-1.94495318796245,0.179787184464791,-10.8180858037929,2.82618320870074e-27,4.15195527473546e-26
"SELENON",1961.23691442701,-1.03234076713834,0.130862460566694,-7.88874641870434,3.05237030546035e-15,1.61131076826723e-14
"FAM110D",81.8449098984963,-3.04032308250922,0.232988310976588,-13.0492515687396,6.41747336017771e-39,2.10565159078076e-37
"DHDDS",646.488044458193,-1.19534221695602,0.110094957604982,-10.8573747877253,1.83961764207637e-27,2.75289844239515e-26
"SESN2",308.63834640269,-1.13338573920808,0.128855383739423,-8.79579654583984,1.42036747111655e-18,1.00918043073496e-17
"SDC3",1594.20243379254,-1.1369221506769,0.129346614937974,-8.78973254322957,1.49916433151984e-18,1.06242458985711e-17
"TINAGL1",1267.49457288323,-1.87409167991656,0.171683382654378,-10.9159759724059,9.66851898312291e-28,1.47867409228213e-26
"GJA4",299.430426140799,-2.05238914340177,0.217639847150107,-9.43020853155734,4.09274475709604e-21,3.59814648433146e-20
"GRIK3",508.435224470112,-3.13550504860655,0.290145498860676,-10.8066644525552,3.20098323851382e-27,4.67230651251302e-26
"DNALI1",258.398076123116,-1.50136850928229,0.211467448049888,-7.09976179845937,1.24972097808499e-12,5.2078118322142e-12
"NT5C1A",106.564680262005,-2.79763652194881,0.28041209806615,-9.97687525339527,1.92431520800277e-23,2.06512659201766e-22
"CLDN19",191.506942742882,-3.5890807556013,0.302642580255128,-11.8591400872135,1.92946490446394e-32,4.09517782198271e-31
"TIE1",1089.07179033195,-2.57236217237704,0.195054012187492,-13.1879480125967,1.02949479307346e-39,3.54996301032463e-38
"ZSWIM5",358.271917216802,-1.58150947185457,0.194814725697712,-8.11801811280198,4.73858088979353e-16,2.68906364017315e-15
"LURAP1",55.1647616174206,-1.46822076272203,0.183210490101569,-8.01384659747415,1.1117536216591e-15,6.12524098598385e-15
"EFCAB14-AS1",33.5163622500372,-1.52022223666539,0.167905567839051,-9.05403112136595,1.37785532925556e-19,1.06791052997198e-18
"EFCAB14",893.73582817344,-1.49150521777743,0.130148869737834,-11.4599936271583,2.09530215563687e-30,3.89447634765917e-29
"CYP4B1",380.487970726603,-3.36686707173964,0.332748495496324,-10.1183540040283,4.58053738302728e-24,5.17023886094751e-23
"CYP4A11",203.661126461035,-1.65519329266171,0.277311379861956,-5.96871752427058,2.39125689729864e-09,7.29428346094039e-09
"CYP4X1",381.109206070814,-1.60416584908847,0.337223743165262,-4.75697776802841,1.9651280189632e-06,4.47195268575808e-06
"TAL1",120.688672255819,-2.30588807888028,0.222832348226827,-10.3480849940739,4.26939873492434e-25,5.22483411309199e-24
"TRABD2B",258.5879373587,-2.09941970514324,0.257970927128954,-8.13820273667422,4.01188651237577e-16,2.29031887803716e-15
"PODN",988.137562139048,-2.2461754437732,0.246149892992447,-9.12523428901968,7.15812603725706e-20,5.68319858587656e-19
"SLC1A7",250.880225968974,-2.78841094837975,0.231122882294482,-12.0646251928744,1.62400042033886e-33,3.72998096542829e-32
"PLPP3",644.299162493188,-2.92107476177097,0.152117384936914,-19.2027674087508,3.50889103753166e-82,1.34720467238007e-79
"JUN",4981.59408324207,-1.81604783140382,0.234710029493542,-7.73741043500565,1.0146210920284e-14,5.13175638445506e-14
"NFIA",1582.48721987251,-1.64198996301826,0.186109395928274,-8.82271394643118,1.11718473510985e-18,8.00960427145089e-18
"PGM1",795.868410509136,-1.44620056715249,0.156164384487619,-9.2607579628193,2.02986073171922e-20,1.68439153105629e-19
"CACHD1",633.171336048222,-1.5871917287714,0.180309159238409,-8.80261288708456,1.33666995467329e-18,9.51688289898024e-18
"JAK1",1691.23210819039,-1.17591607535276,0.124804515425704,-9.42206354747457,4.42308408687206e-21,3.8713649217658e-20
"AK4",413.5762271308,-1.00751558836612,0.205927812929665,-4.89256683705099,9.9529299608122e-07,2.34394553064115e-06
"LEPR",651.699005265112,-3.47136640669412,0.195942184170064,-17.7162790207607,3.14008217706409e-70,5.93937308255857e-68
"LEPROT",770.832250557869,-1.31000327548623,0.117835406587498,-11.1172296461972,1.03434049414038e-28,1.70341708522837e-27
"GNG12",670.186997843349,-1.37266524682047,0.170739751910478,-8.03951763699517,9.0192804774154e-16,5.01214022469289e-15
"GNG12-AS1",26.5861428568506,-1.15503002063992,0.229516796172236,-5.03244224345634,4.84270528941295e-07,1.17978739335977e-06
"WLS",534.190254994773,-1.94453063926108,0.197550539294878,-9.8432059269579,7.33359181147431e-23,7.50992499038078e-22
"RPE65",362.246023652677,-1.74716753376302,0.273918481123333,-6.37842151649616,1.78922495270122e-10,6.0889036490655e-10
"PTGER3",365.158959451925,-4.06955661462899,0.231128289552241,-17.6073496780201,2.16340270215489e-69,3.8646785493217e-67
"ZRANB2-AS1",129.602499190161,-1.29174502089145,0.133673818613638,-9.66341078820393,4.31261237560038e-22,4.12254332032494e-21
"NEGR1",232.502883914759,-1.52545343688269,0.243543977073966,-6.26356461453119,3.76275133724945e-10,1.2422101565632e-09
"ST6GALNAC3",123.353343486111,-2.61992890739874,0.176045941030692,-14.8820750541586,4.30924008379325e-50,2.75064247929274e-48
"AK5",312.827333098078,-3.04841050951701,0.250676685843008,-12.1607260733698,5.03095331985965e-34,1.20387202976809e-32
"DNAJB4",245.07713910277,-1.32238251455327,0.14214232308871,-9.30322852348472,1.36244470830431e-20,1.14534404171307e-19
"GIPC2",101.882185971836,-2.5883446313985,0.252707364973041,-10.2424582349415,1.27943536184528e-24,1.49668918818136e-23
"ADGRL4",482.449767022324,-3.01687258986141,0.206018656041787,-14.6436863914378,1.47830780767723e-48,8.78244573780346e-47
"ADGRL2",794.275168208906,-1.14999465938712,0.178440906596686,-6.44468065826608,1.15844071557006e-10,4.02372791889335e-10
"CCN1",2240.52995585011,-1.56235346859884,0.235122606517494,-6.64484581784609,3.03534644012936e-11,1.11449117650425e-10
"CLCA4",214.35882895283,-1.13154617996734,0.340882779292572,-3.31945832616015,0.000901922655439382,0.00153192858293316
"CLCA4-AS1",16.1339195835472,-1.52645772078101,0.178338316535474,-8.55933682920787,1.13518607766748e-17,7.49141268905037e-17
"SH3GLB1",841.781473373198,-1.26046518042325,0.11390548054999,-11.0658870349093,1.83636892260944e-28,2.96725842746265e-27
"LINC01140",139.635338555118,-1.90463524200583,0.200131418547983,-9.51692270921061,1.7838313758128e-21,1.62031349969663e-20
"LRRC8C",351.842892837272,-1.46621676521889,0.151811485695526,-9.65814120388453,4.54026993764459e-22,4.33051182335815e-21
"TGFBR3",1409.17456941365,-3.31304403274726,0.205908666171185,-16.0898717589328,3.00459059207694e-58,3.05494420516155e-56
"DIPK1A",224.821834243874,-1.44696193106532,0.124095796522927,-11.6600398370301,2.03946950006612e-31,4.02326023157215e-30
"TMED5",376.300460434237,-1.09835615061362,0.132701185631544,-8.27691286544565,1.26409653008367e-16,7.54294111340112e-16
"F3",258.549073785389,-1.2602884477067,0.216842381013772,-5.81200244073442,6.17299403851578e-09,1.81561969639584e-08
"CNN3-DT",46.0286623514131,-1.07200623828734,0.169651534359687,-6.31887145809435,2.6348031716489e-10,8.80572648921611e-10
"DPYD",881.002644631281,-1.73060831041983,0.144695797284987,-11.9603218814386,5.73392254856415e-33,1.26175725953177e-31
"DPYD-AS1",22.0364189299515,-2.03237394865853,0.157598474758055,-12.8958985915227,4.74697399311685e-38,1.48373218710738e-36
"PLPPR4",247.325554096969,-2.40935812962096,0.212846149041143,-11.3197168023709,1.04809952189305e-29,1.85173846848742e-28
"PALMD",670.26536853459,-2.77445314411888,0.199462669413039,-13.9096360852048,5.53604019632935e-44,2.59397264135476e-42
"GPR88",41.6444458618886,-2.00857697432292,0.277207987045287,-7.24573990717945,4.30084754822416e-13,1.87771558605768e-12
"S1PR1",423.8356593948,-3.49605623794351,0.21245181933196,-16.4557604116388,7.62581332097372e-61,8.64169259333603e-59
"ELAPOR1",2876.34510256102,-1.05659123168696,0.258743941103419,-4.08353999394577,4.43547913853931e-05,8.76802162143895e-05
"SYPL2",89.0248067859142,-2.0789785732211,0.19894455913371,-10.4500398617277,1.46463656509032e-25,1.87072050647385e-24
"AMIGO1",179.688614321401,-1.65191328545525,0.171649656913265,-9.62374941588124,6.34743093337437e-22,5.95699793251084e-21
"GSTM5",178.012379414123,-2.91643629962784,0.229664009506681,-12.6987084562895,6.01135761340947e-37,1.75324448126242e-35
"GSTM3",434.15645212732,-1.60465177374905,0.21025582506471,-7.63190162867161,2.31315921366342e-14,1.13211011438885e-13
"CSF1",1030.15087178868,-1.49537633509602,0.163180632091291,-9.16393272860612,5.00396651686174e-20,4.02256358374223e-19
"PROK1",79.0015563440937,-3.35018817170608,0.276326422267432,-12.1240239866158,7.8793307030291e-34,1.86294028496986e-32
"KCNA2",175.222750265994,-1.8673292104679,0.270710753055108,-6.89787601487619,5.2785783805974e-12,2.08356836370243e-11
"INKA2",225.603655608662,-1.8479233670863,0.16694997356258,-11.0687251255756,1.7791358678607e-28,2.87658649056246e-27
"KCND3",496.370779170016,-2.05413141916431,0.23264264033896,-8.82955685239578,1.05091258173038e-18,7.54498332470898e-18
"LINC01750",20.0534232182393,-1.16550320168361,0.258781515137652,-4.50381164614346,6.67453686076931e-06,1.44197351311354e-05
"LINC02884",37.1525041507398,-4.57717488859365,0.34751285541726,-13.1712390412085,1.28471799873567e-39,4.38885601586673e-38
"HIPK1",986.852015159622,-1.35991683859317,0.115227296596621,-11.8020371800777,3.80975092661801e-32,7.95119494056736e-31
"OLFML3",456.97391432459,-1.08553985422569,0.237628885026065,-4.56821507245054,4.91895160211217e-06,1.07625338957841e-05
"AMPD1",477.293692438142,-1.38919697970081,0.281420643412159,-4.93637198343776,7.95892380269007e-07,1.89692722968961e-06
"CASQ2",318.585480952183,-3.84908996328209,0.298672003401818,-12.8873477240641,5.30366164546232e-38,1.65171176958684e-36
"NHLH2",33.504148242412,-1.7097537219951,0.322100334323984,-5.30814016565205,1.1074946453243e-07,2.87769618750729e-07
"TBX15",435.641076745724,-2.85573910636949,0.184802443528726,-15.4529293652202,7.20912318913032e-54,5.85007838855483e-52
"HSD3B1",121.775975229983,-1.04025025699055,0.287076148671652,-3.62360391765025,0.000290526399705013,0.000522732119046775
"HMGCS2",534.599871865509,-1.97250243689055,0.474405346296845,-4.15784192207716,3.21268203109772e-05,6.458000513242e-05
"LOC107985524",60.1430727545105,-1.79576411972645,0.209080649322046,-8.58885853640353,8.78375869912748e-18,5.85371525327345e-17
"LOC101927452",23.2724424946526,-2.24735437306732,0.3529554310699,-6.36724689645658,1.92451255524765e-10,6.53029428455224e-10
"LIX1L",334.61849256196,-1.30493318740808,0.122061493880206,-10.6907849963623,1.1241544355368e-26,1.56481324132839e-25
"TXNIP",4350.53339401386,-2.79410606361936,0.242355636815466,-11.5289501838443,9.4286421240146e-31,1.79528045890564e-29
"NUDT4P2",197.916154197452,-1.34600183723531,0.127254459824562,-10.577246872848,3.79959065559124e-26,5.08271814999632e-25
"GJA5",298.600986382916,-1.33058090222707,0.199362082724599,-6.67419242436961,2.485972614363e-11,9.20926836576523e-11
"NUDT4B",210.250505190111,-1.28185058051858,0.126840534169752,-10.1060011210853,5.19621072220061e-24,5.82682321786785e-23
"ADAMTSL4",1546.00329611507,-1.02605338882171,0.186350704517015,-5.50603439617278,3.67006853099979e-08,1.00157906738212e-07
"CTSK",942.47478075369,-1.01443697943982,0.203519147192419,-4.98447931525929,6.21288915179989e-07,1.49602509164935e-06
"SELENBP1",2066.53571207905,-1.22524564041692,0.221470994536909,-5.53230748332929,3.16045240471827e-08,8.68398607765144e-08
"LCE3A",20.8924368535957,-1.05423469162517,0.487004429513951,-2.16473327086025,0.0304081176044719,0.0422159003323134
"NPR1",900.728785019369,-3.93945712726329,0.205545087889684,-19.1659025652688,7.13091002412706e-82,2.65848593421224e-79
"SHE",322.517897781318,-2.3784370486101,0.165975371865162,-14.3300600678415,1.41997732947938e-46,7.68999933126894e-45
"TDRD10",241.372100519164,-1.24672385099494,0.234568060363367,-5.31497702229216,1.06670786492461e-07,2.77760837304591e-07
"SYT11",216.683781500799,-1.68349849258084,0.168186634139472,-10.0097044048385,1.3816473799848e-23,1.49837677920442e-22
"PEAR1",768.220529253804,-2.75677122830431,0.200485765663507,-13.750458638202,5.06076853265447e-43,2.22155648010245e-41
"KIRREL1",1030.36715377046,-1.5590466155643,0.172062062782003,-9.0609550435273,1.29313299861475e-19,1.00375839639004e-18
"SPTA1",1844.86875823697,-1.50018903962057,0.231738418491654,-6.4736311285157,9.56753071594574e-11,3.35078502569078e-10
"CADM3",218.773435515134,-2.03047420457319,0.290356120701192,-6.99304770868863,2.68977989932302e-12,1.0903230086698e-11
"CADM3-AS1",79.3488495200486,-1.93016944482656,0.278392812872708,-6.93325889023259,4.11254571247234e-12,1.63940997842304e-11
"ACKR1",478.763650657653,-3.7539030224028,0.308623088981584,-12.1633900910985,4.86951029993396e-34,1.16850077383863e-32
"FCER1A",93.4469050862979,-1.0451966237358,0.259212984448201,-4.03219239175369,5.52589192741912e-05,0.000107990613037248
"ATP1A2",1021.94870885784,-4.15042052218957,0.298908285246187,-13.8852642333792,7.78128943065812e-44,3.58720231745967e-42
"ATP1A4",489.465504631614,-2.56410516816953,0.244429276789607,-10.4901720524116,9.58536874450324e-26,1.24658253581194e-24
"PEX19",1291.26894345393,-1.52408937781054,0.139422346752341,-10.931456924318,8.15288000928393e-28,1.25508489143519e-26
"ITLN1",146.814041549471,-1.20874151089947,0.301279403738596,-4.01202835607121,6.01992669388311e-05,0.000117093833099016
"C1orf226",394.593425177789,-1.33482661279734,0.191379851385789,-6.9747499704478,3.06415270022164e-12,1.23391145993271e-11
"DDR2",1566.54620918984,-2.71319786220545,0.165062578259658,-16.4373893272002,1.03272837710637e-60,1.16008317784647e-58
"RGS5",1224.5678203594,-2.38606894839451,0.211202576873519,-11.2975371026057,1.34949745247126e-29,2.37120713574937e-28
"LMX1A",126.143775334261,-2.47353688269406,0.313126452004138,-7.89948235565025,2.80064077297829e-15,1.48116125090653e-14
"RXRG",210.579802662942,-3.49094574501424,0.27505864148653,-12.6916417755419,6.5792009740177e-37,1.90804245609505e-35
"STYXL2",321.91831223656,-1.32053357371687,0.233185118596085,-5.66302679033414,1.48725928786579e-08,4.22183380280949e-08
"DPT",715.901534395664,-5.16158727871379,0.257466356469955,-20.0476184519126,2.11741480608522e-89,1.29686615408896e-86
"SELP",419.499178116934,-3.31828428752304,0.254701942860456,-13.0281074822465,8.46820493788584e-39,2.76091386339893e-37
"SELE",322.644314816011,-2.26561026785699,0.269548715765278,-8.40519778187284,4.27141135939017e-17,2.657904833308e-16
"FMO2",537.827083095987,-1.97503989635973,0.242190066551793,-8.15491702231875,3.49419696116972e-16,2.00546012113186e-15
"FMO1",221.881290413308,-1.45677584691166,0.20687735337844,-7.04173667693237,1.89858379331638e-12,7.77569964962118e-12
"MYOC",221.00405308765,-7.63007834113203,0.304650087774724,-25.0453836953237,1.96021042715302e-138,5.04244530280844e-134
"TNN",562.933835825273,-3.7101393829434,0.266080908156661,-13.943651232425,3.43887627259107e-44,1.6351507067677e-42
"KIAA0040",606.354436539668,-1.50955895203953,0.194812112956121,-7.74879410285712,9.27692972258258e-15,4.70226089031949e-14
"PAPPA2",703.058555491452,-2.94177400784975,0.300012210517576,-9.80551425815185,1.06602601795746e-22,1.07464343345605e-21
"ANGPTL1",215.035812816694,-3.69262860983854,0.201398465019315,-18.3349391937242,4.35503059924451e-75,1.00926853274744e-72
"TOR1AIP1",636.640567403586,-1.0431623971356,0.113274760671985,-9.20913353466564,3.28767983829593e-20,2.68653990344106e-19
"LAMC1",2303.75083403074,-2.00470519915344,0.160684883720469,-12.4760036708921,1.00926407781602e-35,2.66280093720403e-34
"NMNAT2",331.142231515845,-2.26213475292216,0.255216007519208,-8.86360841904446,7.74654930617057e-19,5.63393368255391e-18
"RGL1",642.30303617675,-1.47997026047868,0.124431956315478,-11.893811720893,1.27454153628064e-32,2.74132997318421e-31
"NIBAN1",1166.07409086655,-1.56678740029745,0.175433271018225,-8.93095928271599,4.22330529825403e-19,3.14625848515166e-18
"HMCN1",4067.51981532868,-1.72513828312732,0.2159364543223,-7.98910164817483,1.35925588541301e-15,7.41737344004336e-15
"PRG4",782.222441957873,-1.99468871991702,0.188966446949941,-10.5557825323637,4.77642856858617e-26,6.34981129190236e-25
"CFH",1052.16919320332,-2.37171141564952,0.185475332375753,-12.7872067151479,1.93297288199964e-37,5.74841553948655e-36
"CFHR1",195.586687861147,-1.1469612939845,0.22101922877571,-5.18941858741364,2.10951708283756e-07,5.32690855393279e-07
"NR5A2",289.295740776736,-2.8273027784754,0.174086813202883,-16.2407635963812,2.59671626922622e-59,2.77169831160064e-57
"CSRP1",3016.70072767753,-1.25886097857608,0.188407630017832,-6.68158173029898,2.3637688624117e-11,8.7704587071511e-11
"LMOD1",1077.6767998391,-2.31248212494364,0.239593845409201,-9.65167582244932,4.83588972178862e-22,4.597133303891e-21
"PPP1R12B",1512.95328408397,-1.51481803135403,0.133766541555728,-11.3243417504589,9.94229110276867e-30,1.76140148985965e-28
"BTG2",1494.60178174828,-2.54768558779947,0.260419567604189,-9.78300367840136,1.33197783171695e-22,1.32960022285941e-21
"FMOD",1035.90173581293,-3.19981449506709,0.253467708020743,-12.6241505083765,1.55409448900834e-36,4.33125965712358e-35
"ATP2B4",1965.98502584244,-1.23854357868275,0.144242806663392,-8.58651885201486,8.96441103783353e-18,5.96946698258425e-17
"PIK3C2B",1407.1171087927,-1.40629811691596,0.13172085474416,-10.6763512858111,1.31332618514986e-26,1.81536823142369e-25
"IL20",111.440792207165,-1.17830179977235,0.318128443089644,-3.70385555069757,0.000212347204097505,0.000387515570247178
"PIGR",1188.564294234,-4.90278576226548,0.389094157733187,-12.6005124076611,2.09777228466798e-36,5.80248325277409e-35
"C4BPA",206.447865642681,-2.88561883785606,0.346608230009024,-8.32530386765753,8.41126941464607e-17,5.09349092331346e-16
"CD34",960.967063219962,-3.1813512475357,0.191100625963918,-16.6475187168481,3.15411269267063e-62,3.85902906366638e-60
"LAMB3",2186.0901094725,-1.13933433356022,0.263559673299466,-4.32287048810256,1.54012151082494e-05,3.2035324447692e-05
"MIR4260",33.1260149979155,-1.02435232398047,0.303184252308771,-3.37864620665471,0.000728436866856287,0.00125097202503579
"G0S2",492.272813398978,-3.96326355422964,0.314548609354699,-12.5998444639775,2.11561285695734e-36,5.84554512700008e-35
"HSD11B1",282.046391042042,-3.00422418916736,0.221592620034654,-13.5574198666794,7.16109814869404e-42,2.84717293318401e-40
"ATF3",740.932329342363,-1.58550413421562,0.238976906694552,-6.63454957278414,3.25494947038448e-11,1.19206036697281e-10
"GARIN4",130.659430059708,-2.09198047816138,0.306263434604504,-6.83065701546407,8.45266059713445e-12,3.26922629981486e-11
"C1orf115",555.000623632223,-2.51586281512096,0.239529137658599,-10.5033685659856,8.33515178070031e-26,1.08839311881591e-24
"MTARC2",256.217366810244,-1.00371205824102,0.152262390570562,-6.59198935784389,4.33971710492521e-11,1.5709946919096e-10
"MTARC1",334.616850721848,-2.78516637428166,0.217757038526147,-12.7902473009947,1.8588146803943e-37,5.53427648593323e-36
"HLX-AS1",15.2592583263729,-1.2885307734888,0.219583956836672,-5.86805517147691,4.40936542602288e-09,1.31478516539947e-08
"LINC02817",43.349939213807,-1.22355954707285,0.250041450727841,-4.89342684387414,9.90951600251924e-07,2.33479015981686e-06
"EPHX1",1865.78321228393,-1.00978743932888,0.176047788268667,-5.73587120440187,9.70123645843277e-09,2.80052302386628e-08
"RHOU",270.082332669223,-2.03041372079279,0.183536487842119,-11.062725154354,1.90228445527784e-28,3.06990999545591e-27
"FAM89A",98.5506140467299,-1.75831069302205,0.221593721114028,-7.93483986902886,2.10767083330786e-15,1.1271876198755e-14
"MIR1182",21.1620568948863,-2.13578493578141,0.234987707655052,-9.0889219572141,1.00025885465466e-19,7.84949932188419e-19
"NID1",1475.76462781262,-2.08022539034557,0.190109124013507,-10.9422701363759,7.23648652028805e-28,1.11937089144852e-26
"GREM2",62.4119259675476,-2.33865106567372,0.288458166979257,-8.10741845226345,5.17065475313958e-16,2.92201060785946e-15
"MAP1LC3C",81.7890663314206,-3.07027988123817,0.228783236903775,-13.4200386478906,4.61472505093101e-41,1.74060391803738e-39
"GCSAML",114.228379942903,-1.17812679358712,0.278533616414709,-4.22974723393173,2.3395403432693e-05,4.77296659451658e-05
