"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",256.45110552853,2.07000023255807,0.209666801847734,9.87280873421902,5.46135343133488e-23,5.67627699667307e-22
"WASH7P",1522.55737810955,1.75453989274904,0.152541075439159,11.5020815717852,1.28771875764542e-30,2.53251355670266e-29
"MIR6859-1",50.944109485151,2.73932918689676,0.198241131146415,13.8181676580204,1.98047036279388e-43,1.13212488027799e-41
"MIR1302-2",31.8765247878241,1.73075675189304,0.514481060921863,3.36408253550056,0.000767985725042453,0.00135322041173999
"WASH9P",109.937271134029,1.00880734876548,0.18659925230867,5.40627755086994,6.43480572524893e-08,1.76639571525241e-07
"LOC729737",1422.18229595197,2.17112217189774,0.210354826283666,10.3212377403215,5.64901705639208e-25,6.93629187392028e-24
"DDX11L17",349.672180901662,2.19311237636629,0.239821734533785,9.14476071416012,5.9762019441305e-20,4.84499901704421e-19
"LOC102723897",1483.55162587744,1.38010160834354,0.160320105733906,8.60841253831373,7.40792460369766e-18,4.99244046385954e-17
"MIR6859-2",51.9066016034474,2.7343394412005,0.1926541725573,14.1929936159947,1.01242801899917e-45,6.98222476159109e-44
"LOC100132287",1235.99612392538,2.21908550013146,0.169177779713479,13.1168851127478,2.63546426315013e-39,1.08994666728736e-37
"LOC101928626",11.1782558523507,1.79727347647587,0.352943169691103,5.09224609176839,3.5384640802467e-07,9.01847319927338e-07
"OR4F16",338.110114021262,1.27739744159497,0.177860360736345,7.1820243493633,6.86866842605337e-13,2.97107157544639e-12
"100133331",949.009697714219,2.22301792492693,0.169929351696394,13.0820126289819,4.17244272546322e-39,1.68760875267006e-37
"107984841",142.880814949814,1.90976112586626,0.176430647489209,10.8244296160794,2.63715967730644e-27,3.96020405948808e-26
"107984847",178.325905384177,1.93364483459901,0.175939976074337,10.9903665883302,4.25195567690245e-28,6.86612101899804e-27
"107984849",102.73398968673,2.29886022013326,0.188413932571312,12.201115855714,3.06593377367003e-34,8.13912078368296e-33
"LOC100288069",64.2071411720752,1.24212352256548,0.155428763005069,7.99159369572393,1.33205422471708e-15,7.3280074586446e-15
"LINC01409",39.2737763350928,1.11468477181613,0.183552212500856,6.07284846436231,1.25661025633419e-09,4.04822069304205e-09
"LINC00115",86.6635266310535,1.35753410955736,0.187054057338698,7.25744273538684,3.944768979674e-13,1.74475089808277e-12
"LOC284600",134.516480477805,4.57697378904272,0.369289888726323,12.3939862118312,2.81685541410036e-35,8.0601544685559e-34
"LINC02593",94.2948448842241,4.0416741800131,0.357742816542243,11.2977088375326,1.34686153581279e-29,2.4712315368936e-28
"LOC107985728",61.8133143216395,3.21949955349444,0.357288346802152,9.01092795863626,2.04320212693124e-19,1.57457553963988e-18
"SAMD11",415.056384547555,2.57616896365325,0.210240142574211,12.2534589831907,1.6098037943785e-34,4.34073299859461e-33
"NOC2L",1552.72987675238,1.1650620305348,0.135213975320434,8.61643204982181,6.90727572161711e-18,4.67463195640301e-17
"KLHL17",693.330887658036,2.05563776827375,0.175514070455644,11.7120967164467,1.10512431594595e-31,2.37694129627038e-30
"PLEKHN1",805.177754731415,2.84557137886539,0.223551763366457,12.7289149323363,4.08476342754175e-37,1.38806412694959e-35
"PERM1",261.572288939904,3.22109534071647,0.259208716165876,12.4266474845514,1.87327034146395e-35,5.46349277367559e-34
"ISG15",632.234379360354,2.73728402109921,0.307208681258807,8.91017796073668,5.09507148052281e-19,3.80010492215044e-18
"LOC100288175",26.5778146668801,2.99497238975085,0.263956299851732,11.3464705765052,7.72170609573683e-30,1.43417449535548e-28
"112267874",32.2170188929824,2.24550799930569,0.285547054029963,7.86388081268757,3.72411907835473e-15,1.97036691015214e-14
"LOC105378948",92.7435375670266,2.69768023030771,0.260237859571687,10.3662097234725,3.53259858107369e-25,4.42633053577884e-24
"RNF223",65.3916971766941,2.28692483687504,0.287545494940327,7.9532626214493,1.81662681276021e-15,9.86092174117823e-15
"C1orf159",759.594418666794,2.03679473919422,0.166081332504257,12.2638390990873,1.41627510592713e-34,3.83094225287797e-33
"LINC01342",40.3760539882794,2.46734248511231,0.303155587739905,8.13886527214267,3.98999667958977e-16,2.29411431796529e-15
"MIR200B",35.9073577436123,1.85633260175451,0.311172511787286,5.96560599486206,2.43727767984175e-09,7.64685096185501e-09
"MIR200A",39.2201345766964,2.11325305446468,0.310531127498563,6.80528574216594,1.00848866973607e-11,3.94260828879795e-11
"MIR429",72.6097745572318,2.96982940309797,0.288769930850879,10.2844135964821,8.28448178483007e-25,9.99109280042048e-24
"TNFRSF18",235.098548396396,2.92408657238333,0.233241811868285,12.536716933217,4.70069405319578e-36,1.45337324308183e-34
"C1QTNF12",125.935335612646,1.43885776590717,0.230224777916932,6.24979543438336,4.10990628040645e-10,1.38363079645564e-09
"LINC01786",45.7028063325872,1.51671595196406,0.213419874004895,7.10672311581098,1.18830490057314e-12,5.0317621831018e-12
"SCNN1D",877.082346654169,2.68680529950134,0.214149718283729,12.5463872707111,4.16063442971693e-36,1.29417364050832e-34
"ACAP3",3631.93143095931,1.97245061101315,0.179557663025294,10.9850539251856,4.50969197228907e-28,7.26862884054912e-27
"SNORD167",13.4460906241236,1.57338515519793,0.224691382840703,7.00242766458647,2.5156477825039e-12,1.03805780489461e-11
"PUSL1",265.792104889466,1.0116060311233,0.166984047451344,6.05809983985481,1.37738900142719e-09,4.42567507778078e-09
