"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR6859-1",50.944109485151,1.70768526005416,0.681913064081323,2.50425655410307,0.0122709019264651,0.0330253903699925
"LOC729737",1422.18229595197,1.82488331920297,0.566099832818053,3.22360688594214,0.00126587046629252,0.00508721322838758
"LOC100132287",1235.99612392538,1.53027484876558,0.467320374636375,3.27457335870771,0.00105821659499607,0.00439279696047916
"MIR12136",500.646606536347,2.81204493558671,0.768292669244393,3.66012204483524,0.000252095147755711,0.00133391434653747
"100133331",949.009697714219,1.09493447213345,0.469794778490269,2.33066547834383,0.019771005867851,0.0489028225908268
"107984841",142.880814949814,1.71921204942548,0.504900319004513,3.40505241275182,0.000661513560205315,0.00298330554395539
"107984847",178.325905384177,1.76348552732107,0.50697596986625,3.4784400684441,0.000504341201055937,0.00237178666470986
"LOC100288069",64.2071411720752,1.30112105607931,0.422404397081381,3.08027346559235,0.00206810612164235,0.00768563448037098
"LINC01409",39.2737763350928,2.44326709319004,0.488006385167398,5.00662935455639,5.53914417403267e-07,7.35996615355456e-06
"LINC00115",86.6635266310535,1.77686318943588,0.527936988977621,3.36567284833911,0.000763572106765594,0.00336568349459187
"LOC284600",134.516480477805,3.33374943004906,0.998408077579593,3.33906496242594,0.000840609036681339,0.00362947176148136
"LINC02593",94.2948448842241,2.79172384745943,0.976527950497798,2.85882636133078,0.00425211464473242,0.0139336429878244
"SAMD11",415.056384547555,1.4546601614952,0.559005985020658,2.60222645280165,0.00926206714334487,0.0262745274807458
"KLHL17",693.330887658036,1.60943720309696,0.473062783464456,3.40216406649094,0.000668544899446799,0.00301132008288731
"PLEKHN1",805.177754731415,1.96996107372064,0.604893219707261,3.25670880337195,0.00112711997270472,0.00462277330641839
"ISG15",632.234379360354,2.01046844319435,0.807793294347812,2.48884022343555,0.0128160547660539,0.0342529842607314
"C1orf159",759.594418666794,1.66584807105322,0.45185521532794,3.68668550133744,0.000227193847260388,0.00122113132614422
"TAS1R3",272.30599130793,1.83149838471818,0.643669968706475,2.8453997759112,0.00443557154527287,0.0144339838621884
"CCNL2",2865.31050920741,1.6394272652986,0.530090688516406,3.09272979287178,0.00198324622646904,0.00742930332455069
"ATAD3C",644.165497155079,1.70168633919282,0.680667738875505,2.50002496372766,0.0124184555354205,0.0333591121985587
"ATAD3B",1329.2930116143,1.046899399007,0.420511976555231,2.48958283562585,0.0127893111523529,0.0341919476991237
"CDK11A",1597.49369259663,1.58284216477423,0.453893865411287,3.48725172423287,0.000488011795043103,0.00231147402240633
"LOC107984872",15.2581268270168,3.87387020660131,0.98752774811918,3.92279631026003,8.75271462760947e-05,0.000551174617088436
"GABRD",199.618450218049,2.53795397292048,0.653246354989925,3.88514065717156,0.000102270659827162,0.000630134240333873
"ARHGEF16",855.886000497513,1.59830693087608,0.462088602650357,3.45887546610936,0.00054243564469308,0.00252280139650783
"WRAP73",333.05504636998,1.08817322153691,0.266541151774918,4.08257116880708,4.45401657252082e-05,0.000309997625301747
"107985733",23.037110827709,1.63341781286421,0.635075996148738,2.57200370155646,0.0101111810678279,0.0282379786981658
"ACOT7",438.20106452063,1.62596679871262,0.440944203831577,3.68746608886977,0.000226498266467796,0.00121790163181806
"TNFRSF9",171.107084854498,2.96667892382513,0.621129605755616,4.77626391711937,1.78581986564465e-06,2.01501484002711e-05
"RERE-AS1",6.48963284732133,2.77057706417273,0.637187809996325,4.34813256108699,1.37301611657891e-05,0.000115159656285869
"GPR157",282.063189753485,1.335830470553,0.468868449117776,2.84905173949432,0.00438497488311857,0.0142946513614678
"PIK3CD-AS1",84.3592549366945,2.75919342857013,0.677162565044978,4.07463963750987,4.60856541765203e-05,0.000318599131426178
"TMEM274P",7.82040066676671,2.08386041469744,0.896124941664364,2.32541280552588,0.0200498974018941,0.0494215753896439
"CENPS-CORT",76.9186808258177,1.09872500972656,0.344926562925281,3.18538821831639,0.00144559938809319,0.00569385984677831
"CENPS",67.1602454262125,1.22226734119081,0.353954216275948,3.45317921072004,0.000554020807953648,0.0025652273759708
"C1orf127",270.189918255896,2.06776215935666,0.695206230653935,2.97431476903142,0.00293643683075103,0.0102631659013912
"SNORA59A",26.8765538159321,2.62483047039476,0.485368085191992,5.40791731157289,6.37618480945169e-08,1.13824412240344e-06
"LOC107985467",18.1866489117615,2.57581095473025,0.928511068024723,2.77413058759754,0.00553494554013173,0.0173191751702164
"TMEM51-AS2",73.5807221012583,2.48965679044836,0.562934561038039,4.42263979290504,9.75022223185406e-06,8.63389730437914e-05
"FHAD1",659.719149969808,1.26967097700236,0.538819703664673,2.35639299819021,0.0184533831853726,0.0461855253026391
"AGMAT",132.058318995788,1.40972661560124,0.396972473238645,3.55119488285972,0.000383486348234251,0.00189198366359376
"DDI2",764.161918453302,1.0201039355656,0.250465703143826,4.07282882550916,4.64455596435654e-05,0.000320312486935945
"UQCRHL",78.2429159177396,1.1204377537981,0.404605857797119,2.76920793954476,0.00561927590731544,0.0175370991570699
"SPEN",3106.2647560539,1.27012370929712,0.367002530274195,3.4608036853266,0.000538565400621589,0.00250525431565818
"LINC01772",61.2037993934453,2.15606194837431,0.575216391478204,3.74826235885526,0.000178063940346409,0.000999022203156168
"PADI3",284.127839885778,5.7752453090788,0.967233224588863,5.9708921925564,2.35959631562894e-09,6.73582257363536e-08
"PAX7",214.777193582962,4.4422456363395,1.38526938638379,3.20677384485905,0.00134232477619246,0.00534271430338463
"RPS14P3",91.3580556032484,2.7052927733039,0.502907057821383,5.37930961840815,7.47720188093286e-08,1.30935017825131e-06
"HTR6",69.134124687809,2.02493715045503,0.711084209313258,2.84767559725542,0.00440397909817081,0.01435114749447
"PLA2G2D",99.6355106574013,4.82872064395773,0.829813269847103,5.81904486155958,5.9184849324126e-09,1.47526265892812e-07
"LOC105376830",27.9560355639287,3.87153762414315,0.697323466454162,5.55199675672702,2.82424835953825e-08,5.68029435502439e-07
"LOC105376829",12.553549730313,2.64741946074845,0.624284881768818,4.24072332690066,2.22800631481225e-05,0.000172994972659916
"RAP1GAP",946.760158080494,1.57964744330468,0.607329413873903,2.60097305880306,0.00929597540630808,0.0263387676343065
"USP48",983.936518953352,1.30296224778504,0.271460092063715,4.79982983089544,1.58800503613822e-06,1.8292406305271e-05
"CDC42-AS1",4.66863798891396,1.52395060102635,0.555755567556049,2.74212385802623,0.00610433189737236,0.0187495920869261
"LINC01355",88.2384781734743,3.85301531089716,0.611350816236758,6.3024620374515,2.92954308725244e-10,1.09534253454189e-08
"E2F2",185.103795974852,3.1864195049649,0.554343818846039,5.74809242321485,9.02559027106717e-09,2.15375031663202e-07
"LOC101928163",15.7703524478224,2.75920036792401,0.716829395215008,3.84917301988768,0.000118517274125698,0.000710661622286585
"GALE",687.54395349377,1.49858401324894,0.389054413963088,3.8518622574762,0.000117222957596806,0.000703556547181576
"CNR2",72.0824013786851,4.50232651740488,0.873108369968741,5.15666402048817,2.51388282009139e-07,3.71436655163877e-06
"SRRM1",2472.07484568851,2.08916830798502,0.431754971200327,4.83878228935477,1.30637049916503e-06,1.54313459455425e-05
"RUNX3",564.361870896663,1.75614129294734,0.538189137087991,3.26305600006976,0.00110217738480109,0.00453929091364443
"RUNX3-AS1",57.2504343287671,2.33977264804634,0.618852217751484,3.78082615030061,0.000156308800214472,0.000897719932287804
"RSRP1",746.014674813558,1.08019933390396,0.427072516965354,2.52931127851431,0.0114286617605369,0.0312092245358866
"STMN1",876.024079020322,2.24933857343859,0.485873964415516,4.62946924135859,3.66604174096543e-06,3.71573119561051e-05
"CEP85",468.102822510989,1.06079296637422,0.303747843315393,3.492347319394,0.000478795232502047,0.00228126107814089
"CD52",59.0044638481266,3.38099917559761,0.678573662031706,4.98250870137609,6.2765167302343e-07,8.18748054607238e-06
"CRYBG2",486.601982354046,3.51481306919158,0.611506397073689,5.74779444010957,9.04150634071104e-09,2.15554874057878e-07
"LIN28A",112.328161976869,3.82039087409226,0.921868604991615,4.14418156058911,3.41029479652054e-05,0.000247116685480829
"DHDDS-AS1",23.3822807741037,1.21797361823986,0.514539717400351,2.36711293035554,0.01792746159097,0.0451724970091206
"ACTG1P20",63.6703610170415,1.86038467036881,0.533606524731531,3.48643538664526,0.0004895036166778,0.00231768655170619
"SCARNA1",25.134230144107,3.92463341122339,0.626169511711027,6.26768524787994,3.66454550238248e-10,1.33711728373457e-08
"ATP5IF1",415.564325337457,1.08951821033498,0.359618425799172,3.02965068576163,0.00244836733932018,0.00882839941641047
"RCC1",696.313452214211,1.5440349675802,0.355883283397912,4.33859930940846,1.43393686428879e-05,0.000119220076245458
"SNHG3",234.440489039369,1.64416270181564,0.459193851399033,3.58054163139673,0.000342882704086156,0.00172116004754431
"SNORA73A",452.912689498858,3.3408265456184,0.850049782844145,3.93015398985278,8.48914760512789e-05,0.000536679363465987
"SNORA73B",482.460008535097,3.96898857904798,0.947336227265357,4.18963031795493,2.79409281424869e-05,0.000208778031409059
"SNHG12",140.05578862133,3.32076597708587,0.400956260039866,8.28211530294027,1.21006342900843e-16,2.34042643968519e-14
"SNORD99",21.2376850387939,3.5458903134336,0.614463896690171,5.77070570383981,7.89402357453851e-09,1.90314772663007e-07
"SNORA61",28.1797284662536,4.52935767011095,0.502184442395234,9.01931100953186,1.89275936198362e-19,6.57964078752253e-17
"SNORA44",21.6319080468211,4.09193888956877,0.461441894030888,8.86772298419629,7.46567728048505e-19,2.40973920242083e-16
"SNORA16A",49.8170852386356,4.25547572247536,0.496579096147629,8.56958288314706,1.0386054655692e-17,2.6122756033686e-15
"TAF12",177.771283838835,2.3870536056186,0.297623879350499,8.02036990723943,1.05427191550508e-15,1.67407967620079e-13
"SNORD103A",18.7699724982253,2.16128075576758,0.461800416029016,4.68011868493375,2.86708893480001e-06,3.02638472543272e-05
