"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",256.45110552853,1.70561912040464,0.210132327677754,8.11688110655813,4.78316949127473e-16,2.71197381515431e-15
"WASH7P",1522.55737810955,1.17134320269522,0.152556743321544,7.6780821168054,1.61487968610325e-14,8.021078402263e-14
"MIR6859-1",50.944109485151,1.90591971663633,0.19856227795161,9.59859917149423,8.10382762579789e-22,7.54207170209931e-21
"MIR1302-2",31.8765247878241,1.92327739939309,0.495688397522814,3.88001294564206,0.000104450905360085,0.000197696644064663
"OR4F5",229.00604930218,1.21987391145595,0.43325651603483,2.81559276389022,0.00486873388190722,0.00753569857871128
"LOC729737",1422.18229595197,1.78719264979734,0.210364099714431,8.49571125597692,1.96724492481788e-17,1.26798818456565e-16
"DDX11L17",349.672180901662,1.71746488037706,0.240408355427577,7.14394837618048,9.06874717393211e-13,3.84070550382334e-12
"MIR6859-2",51.9066016034474,1.86163740075283,0.193003889722488,9.64559524385544,5.13126261346737e-22,4.86533724544175e-21
"LOC100132287",1235.99612392538,1.66720768549172,0.169202171164202,9.85334688095566,6.62986863121214e-23,6.81641649357718e-22
"LOC101928626",11.1782558523507,1.40995007323181,0.353207561661244,3.99184566321396,6.55610377330346e-05,0.000127033152654759
"OR4F16",338.110114021262,1.38624339679645,0.176517037656534,7.8533121516224,4.05191511512715e-15,2.11508653452782e-14
"100133331",949.009697714219,1.5277740255838,0.169967331812636,8.98863334083488,2.5032364026769e-19,1.89670848961592e-18
"107984841",142.880814949814,1.11242253877321,0.176880484430822,6.28911969770346,3.19271230514428e-10,1.06028054915481e-09
"107984847",178.325905384177,1.1254858220654,0.176233997529967,6.38631500073661,1.69930785796303e-10,5.80209654078061e-10
"107984849",102.73398968673,1.25135064998114,0.189632025643935,6.59883606543734,4.14398221235119e-11,1.50288733160189e-10
"LINC01409",39.2737763350928,1.36194736493348,0.18321609024196,7.4335576265974,1.05715104779698e-13,4.88488477699472e-13
"LINC00115",86.6635266310535,1.87949151622535,0.186024545512618,10.1034597936855,5.33269041338585e-24,5.97205608158196e-23
"LOC284600",134.516480477805,3.839579297254,0.36933134645325,10.396028753384,2.58482393865254e-25,3.22620140698195e-24
"LINC02593",94.2948448842241,1.61478374012745,0.358064938886107,4.509751066806,6.4903740717735e-06,1.40407352301994e-05
"SAMD11",415.056384547555,1.21094858097968,0.210343139186241,5.75701487419322,8.5614369760765e-09,2.48655757900634e-08
"KLHL17",693.330887658036,1.92250436427181,0.175516379846792,10.9534185125626,6.39862498664965e-28,9.93350809635338e-27
"PLEKHN1",805.177754731415,2.73131085636776,0.223552729259936,12.2177477564675,2.49912731292312e-34,6.08207672636086e-33
"PERM1",261.572288939904,3.20532472414339,0.259202648614697,12.3660955675962,3.98737399338431e-35,1.01455201390522e-33
"HES4",564.554845254655,1.64618724070963,0.230313193259099,7.14760286814182,8.83063421501593e-13,3.74541194636554e-12
"ISG15",632.234379360354,3.19507544233249,0.307198571422923,10.4006845719793,2.46158317975221e-25,3.07985241809076e-24
"LOC100288175",26.5778146668801,1.96510639647058,0.264431803533633,7.43142984395459,1.07429977492555e-13,4.95967110735549e-13
"112267874",32.2170188929824,1.14890900136227,0.285964743774976,4.01765961144617,5.87790208015287e-05,0.000114469795677078
"C1orf159",759.594418666794,1.52914520608152,0.166096731024322,9.20635341015595,3.37392235388513e-20,2.75002467146201e-19
"MIR429",72.6097745572318,1.23233419435591,0.289152031957268,4.26189014137043,2.02705092495488e-05,4.16251760146398e-05
"TTLL10-AS1",82.2456958673418,1.52566945046492,0.26298962130578,5.80125345969837,6.58210191198891e-09,1.92932987219693e-08
"TTLL10",233.749935775613,1.18179328426528,0.259842053525247,4.54812170790687,5.41268316653855e-06,1.17976497014097e-05
"TNFRSF18",235.098548396396,2.49714613362751,0.233272789854297,10.70483246326,9.66052512946319e-27,1.35500189983812e-25
"TNFRSF4",191.293012570203,1.0850533318673,0.217673063547537,4.98478458557796,6.20308830347023e-07,1.49380493838671e-06
"C1QTNF12",125.935335612646,1.61797513983998,0.230131395195073,7.03065802242449,2.05561765926039e-12,8.41213946338121e-12
"ACAP3",3631.93143095931,1.15946891532919,0.179561958260741,6.45720801087238,1.06652259413495e-10,3.71801425823656e-10
"PUSL1",265.792104889466,1.10804254143909,0.166960097555903,6.63657099905611,3.21064324566687e-11,1.17650408620419e-10
"TAS1R3",272.30599130793,1.52930958401855,0.239664784824599,6.38103585029309,1.75894120620388e-10,5.99377448514884e-10
"MIR6808",22.1418305933139,1.17417564619986,0.223290727866054,5.25850606257247,1.45230398701431e-07,3.72882201436831e-07
"CCNL2",2865.31050920741,1.06452542033519,0.201626593110794,5.27968758441619,1.2940433816612e-07,3.33780928004138e-07
"107984868",15.9190980312966,1.14127260269654,0.294472228518606,3.87565444944642,0.00010633850319346,0.000201136151187395
"ATAD3C",644.165497155079,3.22346176194052,0.256090024004048,12.5872211323998,2.48260145573013e-36,6.81562858561385e-35
"ATAD3B",1329.2930116143,1.82116323984616,0.159085547655936,11.4476975858605,2.41474208228524e-30,4.45601329445521e-29
"ATAD3A",825.087078403773,1.46533592136809,0.149014997256846,9.8334795043643,8.07785581743938e-23,8.24582393046867e-22
"FNDC10",231.247481150461,1.1842001046865,0.247826727029405,4.77833895835616,1.76749242118637e-06,4.04330591752762e-06
"CDK11B",1785.30085707031,1.2071991092655,0.136166304787869,8.86562289507803,7.60775510245818e-19,5.54239287045127e-18
"CDK11A",1597.49369259663,1.60123289621071,0.169148162134288,9.46645163628488,2.89511424638481e-21,2.58231341449386e-20
"CALML6",132.36940228196,1.96676065946805,0.254943547174486,7.71449476272478,1.21462422386486e-14,6.09896418791719e-14
"TMEM52",68.5398882302057,1.37342221630015,0.234828186442227,5.84862591287797,4.95650375837039e-09,1.47127974475329e-08
"CFAP74",562.520633985709,1.6208156279888,0.292938495519276,5.53295539091121,3.14879574826274e-08,8.6538057508879e-08
"LOC107984872",15.2581268270168,1.4207444194849,0.368059633925407,3.86009300811518,0.000113343875553669,0.000213476193786981
"GABRD",199.618450218049,2.83216277282578,0.237697175873069,11.9150038801393,9.88615810460557e-33,2.14971708438608e-31
"PRKCZ",631.20435881096,1.06501983636161,0.136509496677365,7.80180033099632,6.10301578420395e-15,3.14176461942891e-14
"HES5",15.8208138007093,1.12945478178672,0.314323007985969,3.5932933736659,0.000326524596592123,0.000584233061329608
"LOC105378604",17.6603852842757,1.32622524620758,0.278649708377508,4.75947114364406,1.94100872049556e-06,4.41862905540069e-06
"ARHGEF16",855.886000497513,1.01498260278042,0.174002887380407,5.83313655342658,5.43950151961687e-09,1.60926667154255e-08
"MIR551A",26.1338443194883,3.07390455215433,0.518909038193297,5.92378302535805,3.14618515202686e-09,9.52034664754016e-09
"CCDC27",190.225263771598,1.1805996650575,0.23988135404007,4.92159830338582,8.58402658438844e-07,2.0393008852679e-06
"107984910",8.04159720365036,1.38149984221874,0.263671917496054,5.23946522382086,1.61042589432351e-07,4.11590618038529e-07
"CHD5",655.768722935277,4.12824675770562,0.28211632178583,14.6331368974802,1.72640289617269e-48,1.02091926669302e-46
