"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",256.45110552853,1.70561912040464,0.210132327677754,8.11688110655813,4.78316949127473e-16,2.71197381515431e-15
"WASH7P",1522.55737810955,1.17134320269522,0.152556743321544,7.6780821168054,1.61487968610325e-14,8.021078402263e-14
"MIR6859-1",50.944109485151,1.90591971663633,0.19856227795161,9.59859917149423,8.10382762579789e-22,7.54207170209931e-21
"MIR1302-2",31.8765247878241,1.92327739939309,0.495688397522814,3.88001294564206,0.000104450905360085,0.000197696644064663
"FAM138A",122.914965821172,-0.0615311440975456,0.304307257721043,-0.202200711735738,0.839759816737733,0.860808189908804
"OR4F5",229.00604930218,1.21987391145595,0.43325651603483,2.81559276389022,0.00486873388190722,0.00753569857871128
"WASH9P",109.937271134029,0.743160617314183,0.186699736292907,3.98051241030283,6.87668743580864e-05,0.000132884545972612
"LOC729737",1422.18229595197,1.78719264979734,0.210364099714431,8.49571125597692,1.96724492481788e-17,1.26798818456565e-16
"DDX11L17",349.672180901662,1.71746488037706,0.240408355427577,7.14394837618048,9.06874717393211e-13,3.84070550382334e-12
"LOC102723897",1483.55162587744,0.854571876733237,0.160333998809017,5.32994800280113,9.82408899405117e-08,2.56641479925838e-07
"MIR6859-2",51.9066016034474,1.86163740075283,0.193003889722488,9.64559524385544,5.13126261346737e-22,4.86533724544175e-21
"LOC112268260",54.0010991433422,0.32654830451357,0.191829993230135,1.70227970618659,0.0887029472118114,0.114015620550474
"OR4F29",208.913683105908,0.235298840416092,0.406312759050227,0.579107682874918,0.562516516334511,0.606766809216243
"LOC100132287",1235.99612392538,1.66720768549172,0.169202171164202,9.85334688095566,6.62986863121214e-23,6.81641649357718e-22
"LOC101928626",11.1782558523507,1.40995007323181,0.353207561661244,3.99184566321396,6.55610377330346e-05,0.000127033152654759
"MIR12136",500.646606536347,0.786234272123768,0.291830966675588,2.69414271240714,0.00705699413568623,0.0106923145922012
"OR4F16",338.110114021262,1.38624339679645,0.176517037656534,7.8533121516224,4.05191511512715e-15,2.11508653452782e-14
"100133331",949.009697714219,1.5277740255838,0.169967331812636,8.98863334083488,2.5032364026769e-19,1.89670848961592e-18
"107984841",142.880814949814,1.11242253877321,0.176880484430822,6.28911969770346,3.19271230514428e-10,1.06028054915481e-09
"107984847",178.325905384177,1.1254858220654,0.176233997529967,6.38631500073661,1.69930785796303e-10,5.80209654078061e-10
"107984849",102.73398968673,1.25135064998114,0.189632025643935,6.59883606543734,4.14398221235119e-11,1.50288733160189e-10
"LOC100288069",64.2071411720752,0.899638510097195,0.155706534847034,5.77778261510345,7.56915142551948e-09,2.2050832533416e-08
"LINC01409",39.2737763350928,1.36194736493348,0.18321609024196,7.4335576265974,1.05715104779698e-13,4.88488477699472e-13
"LINC00115",86.6635266310535,1.87949151622535,0.186024545512618,10.1034597936855,5.33269041338585e-24,5.97205608158196e-23
"LINC01128",137.835818462768,-0.777247607146351,0.156230505904174,-4.97500537841876,6.52458283257705e-07,1.56828974757253e-06
"LOC284600",134.516480477805,3.839579297254,0.36933134645325,10.396028753384,2.58482393865254e-25,3.22620140698195e-24
"LINC02593",94.2948448842241,1.61478374012745,0.358064938886107,4.509751066806,6.4903740717735e-06,1.40407352301994e-05
"LOC107985728",61.8133143216395,-0.305781322499306,0.358459446889226,-0.853043001524802,0.393635458086907,0.441792256711501
"SAMD11",415.056384547555,1.21094858097968,0.210343139186241,5.75701487419322,8.5614369760765e-09,2.48655757900634e-08
"NOC2L",1552.72987675238,0.871633554776398,0.135218558607363,6.4461089051199,1.14758215465682e-10,3.98870468131225e-10
"KLHL17",693.330887658036,1.92250436427181,0.175516379846792,10.9534185125626,6.39862498664965e-28,9.93350809635338e-27
"PLEKHN1",805.177754731415,2.73131085636776,0.223552729259936,12.2177477564675,2.49912731292312e-34,6.08207672636086e-33
"PERM1",261.572288939904,3.20532472414339,0.259202648614697,12.3660955675962,3.98737399338431e-35,1.01455201390522e-33
"HES4",564.554845254655,1.64618724070963,0.230313193259099,7.14760286814182,8.83063421501593e-13,3.74541194636554e-12
"ISG15",632.234379360354,3.19507544233249,0.307198571422923,10.4006845719793,2.46158317975221e-25,3.07985241809076e-24
"AGRN",9180.98250461492,-0.0778660604409997,0.179661337404,-0.433404657708321,0.664720817364181,0.702690815561609
"LOC100288175",26.5778146668801,1.96510639647058,0.264431803533633,7.43142984395459,1.07429977492555e-13,4.95967110735549e-13
"112267874",32.2170188929824,1.14890900136227,0.285964743774976,4.01765961144617,5.87790208015287e-05,0.000114469795677078
"LOC105378948",92.7435375670266,0.872347840806167,0.260533421204754,3.34831453397522,0.000813046792229246,0.00138839721742599
"RNF223",65.3916971766941,0.645021126494795,0.287958779786682,2.23997728762645,0.0250923974087594,0.0352931724502666
"C1orf159",759.594418666794,1.52914520608152,0.166096731024322,9.20635341015595,3.37392235388513e-20,2.75002467146201e-19
"LINC01342",40.3760539882794,0.865771924851374,0.305183870891958,2.83688624277879,0.00455558399856173,0.00708040376072566
"MIR200B",35.9073577436123,0.288662748280881,0.311906176198917,0.925479423968786,0.35471658183921,0.40260895478432
"MIR200A",39.2201345766964,0.534616102808128,0.311928844163619,1.71390402911153,0.0865463529726774,0.111460818257192
"MIR429",72.6097745572318,1.23233419435591,0.289152031957268,4.26189014137043,2.02705092495488e-05,4.16251760146398e-05
"TTLL10-AS1",82.2456958673418,1.52566945046492,0.26298962130578,5.80125345969837,6.58210191198891e-09,1.92932987219693e-08
"TTLL10",233.749935775613,1.18179328426528,0.259842053525247,4.54812170790687,5.41268316653855e-06,1.17976497014097e-05
"TNFRSF18",235.098548396396,2.49714613362751,0.233272789854297,10.70483246326,9.66052512946319e-27,1.35500189983812e-25
"TNFRSF4",191.293012570203,1.0850533318673,0.217673063547537,4.98478458557796,6.20308830347023e-07,1.49380493838671e-06
"SDF4",1670.46411886642,0.0368367260121504,0.144605037204691,0.254740268556533,0.798923712183188,0.824467989417111
"B3GALT6",251.203018636216,0.111574561786288,0.22849518441681,0.488301589685845,0.625336235651129,0.66620348405076
"C1QTNF12",125.935335612646,1.61797513983998,0.230131395195073,7.03065802242449,2.05561765926039e-12,8.41213946338121e-12
"UBE2J2",538.363435874556,0.403822948322038,0.0932290769201598,4.33151288913722,1.48088276847568e-05,3.08594791363787e-05
"LINC01786",45.7028063325872,-0.00690803448562108,0.214041004036975,-0.0322743509670125,0.97425326350926,0.97950797117612
"SCNN1D",877.082346654169,0.750051482755973,0.214207030580372,3.50152598037414,0.000462601865624448,0.000813395105353609
"ACAP3",3631.93143095931,1.15946891532919,0.179561958260741,6.45720801087238,1.06652259413495e-10,3.71801425823656e-10
"SNORD167",13.4460906241236,0.227762569717008,0.226257068516458,1.00665394106987,0.314101103138112,0.360953172978548
"PUSL1",265.792104889466,1.10804254143909,0.166960097555903,6.63657099905611,3.21064324566687e-11,1.17650408620419e-10
"INTS11",1840.77475567368,0.795776882647513,0.151604312526768,5.24903856219133,1.52895070709612e-07,3.91701304544774e-07
"MIR6727",19.7318091925601,0.79194295272298,0.212840805957716,3.72082293693395,0.000198574633812007,0.000363516501578429
